block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-23,9999987242783011299291,156776200000000000000000,1567742050006346699461113271,0,1000000000000000000,227155000000000000000000,0
2024-12-24,10755199730267784500000,118481200000000000000000,1965128020976478325826156397,38295000000000000000000,1000000000000000000,227155000000000000000000,0
2024-12-25,10970153378978634690000,111874200000000000000000,2037815984841406968699300647,50145000000000000000000,5244000000000000000000,227155000000000000000000,0
2024-12-26,10943686847099982520000,112666200000000000000000,2030175362665556759644363697,59094000000000000000000,14985000000000000000000,227155000000000000000000,0
2024-12-27,10972864608828433340000,111839200000000000000000,2039473042386354306889022147,61648000000000000000000,16712000000000000000000,227155000000000000000000,0
2024-12-28,10764686428235831440000,118257200000000000000000,1970230111907806200462854997,62977000000000000000000,24459000000000000000000,227155000000000000000000,0
2024-12-29,10970549505265761080000,111937200000000000000000,2039380336093106894288318997,70577000000000000000000,25739000000000000000000,227155000000000000000000,0
2024-12-30,10974044618799946150000,111839200000000000000000,2040484817629443552607929047,70892000000000000000000,25956000000000000000000,227155000000000000000000,0
2024-12-31,10969517997089413230000,111970200000000000000000,2039132131541107310911237647,71597000000000000000000,26792000000000000000000,227155000000000000000000,0
2025-01-01,10974232212042033800000,111839200000000000000000,2040646265031134040922129997,72362000000000000000000,27426000000000000000000,227155000000000000000000,0
2025-01-02,10952246250763254940000,112473200000000000000000,2033911738336028430838750697,74012000000000000000000,29710000000000000000000,227155000000000000000000,0
2025-01-03,10974638679594700010000,111839200000000000000000,2040996070944553466080936297,75545000000000000000000,30609000000000000000000,227155000000000000000000,0
2025-01-04,10974701848069887230000,111839200000000000000000,2041050429542948967155660797,76040000000000000000000,31104000000000000000000,227155000000000000000000,0
2025-01-05,10974999722365826450000,111839200000000000000000,2041306916225940238346418297,78370000000000000000000,33434000000000000000000,227155000000000000000000,0
2025-01-06,10838668985160753620000,115916200000000000000000,1997210279935526918280079297,79676000000000000000000,38817000000000000000000,227155000000000000000000,0
2025-01-07,10859850389588189820000,115258200000000000000000,2004429208372067428062157697,80743000000000000000000,39226000000000000000000,227155000000000000000000,0
2025-01-08,10840183498571408520000,115884200000000000000000,1998012679472439748689415847,83878000000000000000000,42987000000000000000000,227155000000000000000000,0
2025-01-09,10845375914649956310000,115724200000000000000000,1999830544452382548081899347,84723000000000000000000,43672000000000000000000,227155000000000000000000,0
2025-01-10,10905171219388670490000,113903200000000000000000,2019817317018102180490740747,87316000000000000000000,44444000000000000000000,227155000000000000000000,0
2025-01-11,10976430221198159040000,111839200000000000000000,2042534294654310768898345547,89588000000000000000000,44652000000000000000000,227155000000000000000000,0
2025-01-12,10976475795971368240000,111839200000000000000000,2042573498255047865528547047,89945000000000000000000,45009000000000000000000,227155000000000000000000,0
2025-01-13,10969090955112955560000,112050200000000000000000,2040314619732522970170118897,90353000000000000000000,45628000000000000000000,227155000000000000000000,0
2025-01-14,10976677720287800680000,111839200000000000000000,2042747196689261408583398097,91526000000000000000000,46590000000000000000000,227155000000000000000000,0
2025-01-15,10975316695757414990000,111889200000000000000000,2042550325927433956109354797,94694000000000000000000,49808000000000000000000,227155000000000000000000,0
2025-01-16,10977550602141944160000,111839200000000000000000,2043498733166881180752025897,98342000000000000000000,53406000000000000000000,227155000000000000000000,0
2025-01-17,10977346901408335340000,111847200000000000000000,2043479466933062965936586297,98962000000000000000000,54034000000000000000000,227155000000000000000000,0
2025-01-18,10964859027725796150000,112212200000000000000000,2039802476262617945807661347,101753000000000000000000,57190000000000000000000,227155000000000000000000,0
2025-01-19,10978137322428542840000,111839200000000000000000,2044003546130324929844655397,102929000000000000000000,57993000000000000000000,227155000000000000000000,0
2025-01-20,10978193651863323530000,111839200000000000000000,2044051986858394823020784047,103370000000000000000000,58434000000000000000000,227155000000000000000000,0
2025-01-21,10768940942901159570000,118280200000000000000000,1974698859135411601282767847,106235000000000000000000,67740000000000000000000,227155000000000000000000,0
2025-01-22,10769857758860465070000,118262200000000000000000,1975250667892651620293245297,109556000000000000000000,71043000000000000000000,227155000000000000000000,0
2025-01-23,10947060470080914260000,112777200000000000000000,2035244744984089863592177297,116397000000000000000000,72399000000000000000000,227155000000000000000000,0
2025-01-24,10957415071342463350000,112487200000000000000000,2038667593973623338369280197,118788000000000000000000,74500000000000000000000,227155000000000000000000,0
2025-01-25,10980342417130291710000,111839200000000000000000,2045893599439287918802002997,120188000000000000000000,75252000000000000000000,227155000000000000000000,0
2025-01-26,10980438046355276150000,111839200000000000000000,2045975810944936457110064797,120936000000000000000000,76000000000000000000000,227155000000000000000000,0
2025-01-27,10974407116020317290000,112012200000000000000000,2044156757843062897513631347,121578000000000000000000,76815000000000000000000,227155000000000000000000,0
2025-01-28,10969233931505135920000,112162200000000000000000,2042609290174933675940206847,122398000000000000000000,77785000000000000000000,227155000000000000000000,0
2025-01-29,10980720683673696180000,111839200000000000000000,2046218733381078400864262747,123147000000000000000000,78211000000000000000000,227155000000000000000000,0
2025-01-30,10978072027207493630000,111915200000000000000000,2045423402733355481327468147,123465000000000000000000,78605000000000000000000,227155000000000000000000,0
2025-01-31,10939307526251589020000,113036200000000000000000,2033441413236676063674647497,125657000000000000000000,81918000000000000000000,227155000000000000000000,0
2025-02-01,10969827977360574420000,112181200000000000000000,2043492542163310190719037647,132285000000000000000000,87691000000000000000000,227155000000000000000000,0
2025-02-02,10965239153787070170000,112315200000000000000000,2042124347436621572863387597,133142000000000000000000,88682000000000000000000,227155000000000000000000,0
2025-02-03,10982119024208598570000,111839200000000000000000,2047421068984538864658451447,134047000000000000000000,89111000000000000000000,227155000000000000000000,0
2025-02-04,10872671722171359250000,115068200000000000000000,2012528741915147243206026347,135988000000000000000000,94281000000000000000000,227155000000000000000000,0
2025-02-05,10966735831728004110000,112299200000000000000000,2043108881760868148360127497,140520000000000000000000,96044000000000000000000,227155000000000000000000,0
2025-02-06,10980969719857904660000,111899200000000000000000,2047603680923408041641069097,141678000000000000000000,96802000000000000000000,227155000000000000000000,0
2025-02-07,10983295804661572000000,111839200000000000000000,2048431189342827777829960397,143240000000000000000000,98304000000000000000000,227155000000000000000000,0
2025-02-08,10983457872277990210000,111839200000000000000000,2048570464977008756832056297,144506000000000000000000,99570000000000000000000,227155000000000000000000,0
2025-02-09,10983467335148055510000,111839200000000000000000,2048578593499086079934561297,144580000000000000000000,99644000000000000000000,227155000000000000000000,0
2025-02-10,10984058551623373960000,111839200000000000000000,2049087199780596620670676097,149182000000000000000000,104246000000000000000000,227155000000000000000000,0
