block_date,token_standard,token_id,sell_volume,buy_volume,gross_volume,net_buy_pressure,total_supply,gross_daily_turnover_rate,data_source,primary_secondary_treatment,sample_window
2025-03-05,erc1155,24,138,32688,32826,32550,32550,1.00847926,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-06,erc1155,24,1,1,2,0,32550,0.00006144,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-07,erc1155,24,50,50,100,0,32550,0.00307220,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-08,erc1155,24,12,12,24,0,32550,0.00073733,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-09,erc1155,24,1141,1141,2282,0,32550,0.07010753,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-10,erc1155,24,172,172,344,0,32550,0.01056836,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-11,erc1155,24,563,563,1126,0,32550,0.03459293,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-12,erc1155,24,14136,12421,26557,-1715,32550,0.81588326,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-13,erc1155,24,1284,2999,4283,1715,32550,0.13158218,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-14,erc1155,24,35,35,70,0,32550,0.00215054,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-15,erc1155,24,190,190,380,0,32550,0.01167435,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-16,erc1155,24,109,109,218,0,32550,0.00669739,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-17,erc1155,24,599,599,1198,0,32550,0.03680492,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-18,erc1155,24,7006,7005,14011,-1,32550,0.43044547,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-19,erc1155,24,7297,7298,14595,1,32550,0.44838710,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-20,erc1155,24,68,68,136,0,32550,0.00417819,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-21,erc1155,24,781,781,1562,0,32550,0.04798771,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-22,erc1155,24,1739,1739,3478,0,32550,0.10685100,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-23,erc1155,24,660,660,1320,0,32550,0.04055300,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-24,erc1155,24,2639,2639,5278,0,32550,0.16215054,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-25,erc1155,24,77,77,154,0,32550,0.00473118,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-26,erc1155,24,50,50,100,0,32550,0.00307220,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-27,erc1155,24,2897,2856,5753,-41,32550,0.17674347,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-03-28,erc1155,24,88,129,217,41,32550,0.00666667,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-04-01,erc1155,24,3119,3119,6238,0,32550,0.19164363,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-04-02,erc1155,24,437,437,874,0,32550,0.02685100,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-04-03,erc1155,24,147,147,294,0,32550,0.00903226,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-04-04,erc1155,24,128,128,256,0,32550,0.00786482,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
2025-04-05,erc1155,24,65,65,130,0,32550,0.00399386,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-03-05
