block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10058196332405063720000,206255600000000000000000,2180766113872985661776850727,19757000000000000000000,13939000000000000000000,0,0
2024-12-26,10049574309926942670000,207178600000000000000000,2173124079598775554074141002,35648000000000000000000,30753000000000000000000,0,0
2024-12-27,9992309040384967552390,213090600000000000000000,2114701649164249446673822225,40881000000000000000000,41898000000000000000000,0,0
2024-12-28,9927119401720960589659,219731600000000000000000,2049611926093353238996081696,48180000000000000000000,55838000000000000000000,0,0
2024-12-29,9979119703183374733882,214539600000000000000000,2101735053040780713938039495,55252000000000000000000,57718000000000000000000,0,0
2024-12-30,10060834659689545910000,206216600000000000000000,2185644851349745127376665036,64588000000000000000000,58731000000000000000000,0,0
2024-12-31,10056557102467578320000,206637600000000000000000,2181513568735386276014204336,65406000000000000000000,59970000000000000000000,0,0
2025-01-01,10031807296488517010000,209108600000000000000000,2156969383123758364533559536,66908000000000000000000,63943000000000000000000,0,0
2025-01-02,10055076975954862910000,206812600000000000000000,2180383740870707805989485936,71591000000000000000000,66330000000000000000000,0,0
2025-01-03,10061307484069301750000,206216600000000000000000,2186595963964249715463597136,74053000000000000000000,68196000000000000000000,0,0
2025-01-04,10061326569488137130000,206216600000000000000000,2186634394429519287632726036,74435000000000000000000,68578000000000000000000,0,0
2025-01-05,10061443134200567650000,206216600000000000000000,2186868987382127950833400036,76768000000000000000000,70911000000000000000000,0,0
2025-01-06,10037136060929324330000,208627600000000000000000,2162934731893785253566275086,78494000000000000000000,75048000000000000000000,0,0
2025-01-07,10061675378518722860000,206216600000000000000000,2187336140618917592945078786,81416000000000000000000,75559000000000000000000,0,0
2025-01-08,10034324030567387360000,208940600000000000000000,2160413217646163577071944286,84513000000000000000000,81380000000000000000000,0,0
2025-01-09,10061358843031747200000,206284600000000000000000,2187426394376769098878178886,89091000000000000000000,83302000000000000000000,0,0
2025-01-10,10059129557684370330000,206504600000000000000000,2185286667632980548666504336,89712000000000000000000,84143000000000000000000,0,0
2025-01-11,10062196023068739540000,206216600000000000000000,2188383039022347010357768136,91834000000000000000000,85977000000000000000000,0,0
2025-01-12,10062286993449093390000,206216600000000000000000,2188566086854051088235305136,93654000000000000000000,87797000000000000000000,0,0
2025-01-13,10057616423943438520000,206678600000000000000000,2184089738490285395437382436,95127000000000000000000,89732000000000000000000,0,0
2025-01-14,10048670422874935820000,207575600000000000000000,2175473052409284424830947386,98671000000000000000000,94173000000000000000000,0,0
2025-01-15,10022097499672063110000,210318600000000000000000,2149337285600446941951637347,111206000000000000000000,109451000000000000000000,0,0
2025-01-16,9870794977751785162323,225413600000000000000000,2000213631471482667458676291,114182000000000000000000,127522000000000000000000,0,0
2025-01-17,9861091247472775822056,226309600000000000000000,1991565845343401550783091653,115682000000000000000000,129918000000000000000000,0,0
2025-01-18,9608587077082394648583,246717600000000000000000,1794085547059714858385865491,118714000000000000000000,153358000000000000000000,0,0
2025-01-19,9607925390325487267896,246772600000000000000000,1793683352224287295226908694,120001000000000000000000,154700000000000000000000,0,0
2025-01-20,9607285418170183845057,246826600000000000000000,1793300441302479692636117937,121389000000000000000000,156142000000000000000000,0,0
2025-01-21,9482995578302202554069,255323600000000000000000,1712663711190566115053074466,122134000000000000000000,165384000000000000000000,0,0
2025-01-22,9542431430296895249180,251418600000000000000000,1750456031736645904718757380,130871000000000000000000,170216000000000000000000,0,0
2025-01-23,9613241333985254713180,246490600000000000000000,1798056868460051754184342705,137510000000000000000000,171927000000000000000000,0,0
2025-01-24,9698078811395291593290,240180600000000000000000,1859479995827571744200081696,145771000000000000000000,173878000000000000000000,0,0
2025-01-25,9709870024352774273824,239276600000000000000000,1868520525392692116391908294,148988000000000000000000,176191000000000000000000,0,0
2025-01-26,9515245623486855360117,253376600000000000000000,1733915944127026374213507442,152023000000000000000000,193326000000000000000000,0,0
2025-01-27,9597233066462512837749,247769600000000000000000,1787999341980593189326578995,160054000000000000000000,195750000000000000000000,0,0
2025-01-28,9562290097179317903722,250237600000000000000000,1764675517191849241270268431,162154000000000000000000,200318000000000000000000,0,0
2025-01-29,9774674468143003831716,234189600000000000000000,1920744343046699604629297368,179028000000000000000000,201144000000000000000000,0,0
2025-01-30,9794926561185869167693,232518600000000000000000,1937712771919284372902259298,186189000000000000000000,206634000000000000000000,0,0
2025-01-31,9777377496273240147119,234013600000000000000000,1923352137167040174389132474,188199000000000000000000,210139000000000000000000,0,0
2025-02-01,9401212271800279096778,260899600000000000000000,1666762259291153374078423004,190248000000000000000000,239074000000000000000000,0,0
2025-02-02,9337235752680765045124,264750600000000000000000,1631072718879205677462894709,192510000000000000000000,245187000000000000000000,0,0
2025-02-03,9330891680090405747717,265127600000000000000000,1627657221253254735871307816,193430000000000000000000,246484000000000000000000,0,0
2025-02-04,9326131391958560466652,265422600000000000000000,1625182500330138392259461389,196256000000000000000000,249605000000000000000000,0,0
2025-02-05,9223066418572529215852,271324600000000000000000,1572201966832637724621849295,212353000000000000000000,271604000000000000000000,0,0
2025-02-06,9235287873013197463866,270666600000000000000000,1578392769939796649670912953,213961000000000000000000,272554000000000000000000,0,0
2025-02-07,9306977710162439045624,266689600000000000000000,1615825139600915965603721701,221999000000000000000000,276615000000000000000000,0,0
2025-02-08,9419410697473865250466,260010600000000000000000,1678722316962095200892181585,229136000000000000000000,277073000000000000000000,0,0
2025-02-09,9400694696521746048358,261174600000000000000000,1667943029983437344894125879,230404000000000000000000,279505000000000000000000,0,0
2025-02-10,9675754969913823740957,242504600000000000000000,1847353176411369675400930621,252731000000000000000000,283162000000000000000000,0,0
2025-02-11,9742775335853520792861,237259600000000000000000,1898643354309573277010243412,259097000000000000000000,284283000000000000000000,0,0
2025-02-12,9801248853653472330417,232440600000000000000000,1946709956267610763278510565,271497000000000000000000,291864000000000000000000,0,0
2025-02-13,9453695257819019317706,258114600000000000000000,1700691215291484554003800035,272927000000000000000000,318968000000000000000000,0,0
2025-02-14,9351099301190327597496,264452600000000000000000,1641777640003142782859994797,277023000000000000000000,329402000000000000000000,0,0
2025-02-15,9404883491149657101674,261234600000000000000000,1672328688484110820503107885,282604000000000000000000,331765000000000000000000,0,0
2025-02-16,9404869131945677530801,261246600000000000000000,1672388706677999373621561415,284437000000000000000000,333610000000000000000000,0,0
2025-02-17,9497679505236143172779,255387600000000000000000,1728444813665752576607516118,294552000000000000000000,337866000000000000000000,0,0
2025-02-18,9799873760992637512025,232811600000000000000000,1947603293926204622255622940,318043000000000000000000,338781000000000000000000,0,0
2025-02-19,9945661322717857989284,219374600000000000000000,2081313559368951809784810063,335154000000000000000000,342455000000000000000000,0,0
2025-02-20,10022825687565872480000,211405600000000000000000,2161586570391924134694274232,346219000000000000000000,345551000000000000000000,0,0
2025-02-21,10075325099583531700000,206217600000000000000000,2214233221124741993306065435,353930000000000000000000,348074000000000000000000,0,0
2025-02-22,10075446327017587940000,206216600000000000000000,2214465081152792367777440785,356133000000000000000000,350276000000000000000000,0,0
2025-02-23,10067744688214622480000,206974600000000000000000,2207193667123944920948202035,359360000000000000000000,354261000000000000000000,0,0
2025-02-24,10072088306254435490000,206557600000000000000000,2211428315943288649054420985,359921000000000000000000,354405000000000000000000,0,0
2025-02-26,10076073349330283810000,206216600000000000000000,2215718715915545504112339011,368598000000000000000000,362741000000000000000000,0,0
2025-02-27,10076217996548076860000,206216600000000000000000,2216008191410779759000032761,371473000000000000000000,365616000000000000000000,0,0
2025-02-28,10075005656865369450000,206345600000000000000000,2214981145582484837963743711,374117000000000000000000,368389000000000000000000,0,0
