block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10058197281381399830000,206255600000000000000000,2180780972472295028248424750,19757000000000000000000,13939000000000000000000,0,0
2024-12-26,10049576219773300400000,207178600000000000000000,2173153712329685094481579050,35648000000000000000000,30753000000000000000000,0,0
2024-12-27,9992311052168690425096,213090600000000000000000,2114734187204499954962054716,40881000000000000000000,41898000000000000000000,0,0
2024-12-28,9927122753126888497583,219731600000000000000000,2049649309459546057326109563,48180000000000000000000,55838000000000000000000,0,0
2024-12-29,9979122026663527310107,214539600000000000000000,2101773097714494961531850946,55252000000000000000000,57718000000000000000000,0,0
2024-12-30,10060836708126579990000,206216600000000000000000,2185683392349902708200589639,64588000000000000000000,58731000000000000000000,0,0
2024-12-31,10056559144155065240000,206637600000000000000000,2181552162694931753301052139,65406000000000000000000,59970000000000000000000,0,0
2025-01-01,10031809297574803490000,209108600000000000000000,2157008280939233860743053589,66908000000000000000000,63943000000000000000000,0,0
2025-01-02,10055079040268720250000,206812600000000000000000,2180423225696351960062640489,71591000000000000000000,66330000000000000000000,0,0
2025-01-03,10061309568446657620000,206216600000000000000000,2186635694690002445471848289,74053000000000000000000,68196000000000000000000,0,0
2025-01-04,10061328654109657450000,206216600000000000000000,2186674132936725846434547189,74435000000000000000000,68578000000000000000000,0,0
2025-01-05,10061445228767474570000,206216600000000000000000,2186909017374023593427269539,76768000000000000000000,70911000000000000000000,0,0
2025-01-06,10037138117323800440000,208627600000000000000000,2162975130135294306873236589,78494000000000000000000,75048000000000000000000,0,0
2025-01-07,10061677485768914140000,206216600000000000000000,2187376622183272097727003739,81416000000000000000000,75559000000000000000000,0,0
2025-01-08,10034326110863381790000,208940600000000000000000,2160454636914996586284413189,84513000000000000000000,81380000000000000000000,0,0
2025-01-09,10061360992849137560000,206284600000000000000000,2187468281130514599602549489,89091000000000000000000,83302000000000000000000,0,0
2025-01-10,10059131703761437120000,206504600000000000000000,2185328581702718042592412189,89712000000000000000000,84143000000000000000000,0,0
2025-01-11,10062198182095466830000,206216600000000000000000,2188425161661291711291365489,91834000000000000000000,85977000000000000000000,0,0
2025-01-12,10062289158394627370000,206216600000000000000000,2188608386862452728514118489,93654000000000000000000,87797000000000000000000,0,0
2025-01-13,10057618583988513900000,206678600000000000000000,2184132189339046835672328639,95127000000000000000000,89732000000000000000000,0,0
2025-01-14,10048672591764095680000,207575600000000000000000,2175516333650093838479994239,98671000000000000000000,94173000000000000000000,0,0
2025-01-15,10022100087238959060000,210318600000000000000000,2149390655588454125012339189,111206000000000000000000,109451000000000000000000,0,0
2025-01-16,9870801388498124990511,225413600000000000000000,2000269481110410762809471836,114182000000000000000000,127522000000000000000000,0,0
2025-01-17,9861097980605209529105,226309600000000000000000,1991621873266570732026136111,115682000000000000000000,129918000000000000000000,0,0
2025-01-18,9608603528989133389072,246717600000000000000000,1794144958104905838510696338,118714000000000000000000,153358000000000000000000,0,0
2025-01-19,9607941891404304257823,246772600000000000000000,1793742864252349838079945671,120001000000000000000000,154700000000000000000000,0,0
2025-01-20,9607301971214419657304,246826600000000000000000,1793360070482977876013536594,121389000000000000000000,156142000000000000000000,0,0
2025-01-21,9483017495946539240445,255323600000000000000000,1712723582168766590215154950,122134000000000000000000,165384000000000000000000,0,0
2025-01-22,9542451465977361877395,251418600000000000000000,1750518542977141693954385411,130871000000000000000000,170216000000000000000000,0,0
2025-01-23,9613258441072074351645,246490600000000000000000,1798120148755132444549711819,137510000000000000000000,171927000000000000000000,0,0
2025-01-24,9698092509851521048002,240180600000000000000000,1859544298735027236572444173,145771000000000000000000,173878000000000000000000,0,0
2025-01-25,9709883301251378250148,239276600000000000000000,1868585257234682119769164935,148988000000000000000000,176191000000000000000000,0,0
2025-01-26,9515268257884423699485,253376600000000000000000,1733983289468680552840342868,152023000000000000000000,193326000000000000000000,0,0
2025-01-27,9597252095369384540614,247769600000000000000000,1788067972499091683134193764,160054000000000000000000,195750000000000000000000,0,0
2025-01-28,9562310925379107754792,250237600000000000000000,1764744663776202839937297351,162154000000000000000000,200318000000000000000000,0,0
2025-01-29,9774685760934426835137,234189600000000000000000,1920814540895828281843580191,179028000000000000000000,201144000000000000000000,0,0
2025-01-30,9794937218981228730277,232518600000000000000000,1937785073982841953476365443,186189000000000000000000,206634000000000000000000,0,0
2025-01-31,9777388961175229816326,234013600000000000000000,1923424798697086253198681381,188199000000000000000000,210139000000000000000000,0,0
2025-02-01,9401243503756888739393,260899600000000000000000,1666837473461283946573487291,190248000000000000000000,239074000000000000000000,0,0
2025-02-02,9337271025835405938251,264750600000000000000000,1631148685897724953091291134,192510000000000000000000,245187000000000000000000,0,0
2025-02-03,9330927359627465356235,265127600000000000000000,1627733253882377956131702255,193430000000000000000000,246484000000000000000000,0,0
2025-02-04,9326167596722684278188,265422600000000000000000,1625259100694105296049702970,196256000000000000000000,249605000000000000000000,0,0
2025-02-05,9223119682225042470237,271324600000000000000000,1572299657038964840381601670,212353000000000000000000,271604000000000000000000,0,0
2025-02-06,9235340226705326789246,270666600000000000000000,1578490600100182614854267914,213961000000000000000000,272554000000000000000000,0,0
2025-02-07,9307025456223998802175,266689600000000000000000,1615925340879489588046779195,221999000000000000000000,276615000000000000000000,0,0
2025-02-08,9419449919890970588991,260010600000000000000000,1678823023273065252814953876,229136000000000000000000,277073000000000000000000,0,0
2025-02-09,9400735395833892096685,261174600000000000000000,1668043886723467940304822030,230404000000000000000000,279505000000000000000000,0,0
2025-02-10,9675777104906329818657,242504600000000000000000,1847459505952955856967849194,252731000000000000000000,283162000000000000000000,0,0
2025-02-11,9742793043036341694518,237259600000000000000000,1898750187681535241895989623,259097000000000000000000,284283000000000000000000,0,0
2025-02-12,9801263322735540217923,232440600000000000000000,1946821845175273770086424873,271497000000000000000000,291864000000000000000000,0,0
2025-02-13,9453736002367625231548,258114600000000000000000,1700804441989681322967981748,272927000000000000000000,318968000000000000000000,0,0
2025-02-14,9351149764773393390562,264452600000000000000000,1641893207757382236059554869,277023000000000000000000,329402000000000000000000,0,0
2025-02-15,9404929568377579141378,261234600000000000000000,1672445262175217380148546761,282604000000000000000000,331765000000000000000000,0,0
2025-02-16,9404915287583843465666,261246600000000000000000,1672505496557669011756300591,284437000000000000000000,333610000000000000000000,0,0
2025-02-17,9497718543255808369466,255387600000000000000000,1728564525805306928987487211,294552000000000000000000,337866000000000000000000,0,0
2025-02-18,9799889312788847315209,232811600000000000000000,1947724839075856141192615326,318043000000000000000000,338781000000000000000000,0,0
2025-02-19,9945667221453423916602,219374600000000000000000,2081438422913093451896170448,335154000000000000000000,342455000000000000000000,0,0
2025-02-20,10022828301860763820000,211405600000000000000000,2161713139107785636091460951,346219000000000000000000,345551000000000000000000,0,0
2025-02-21,10075327890252446380000,206217600000000000000000,2214360829108192746412327651,353930000000000000000000,348074000000000000000000,0,0
2025-02-22,10075449128298417300000,206216600000000000000000,2214592953878144668218061651,356133000000000000000000,350276000000000000000000,0,0
2025-02-23,10067747497263643370000,206974600000000000000000,2207322236541729530210924351,359360000000000000000000,354261000000000000000000,0,0
2025-02-24,10072091126837841650000,206557600000000000000000,2211556890889622729659459601,359921000000000000000000,354405000000000000000000,0,0
2025-02-26,10076076401557590280000,206216600000000000000000,2215851302248238437549337251,368598000000000000000000,362741000000000000000000,0,0
2025-02-27,10076221067713848360000,206216600000000000000000,2216141230095869491360412251,371473000000000000000000,365616000000000000000000,0,0
2025-02-28,10075008740637933300000,206345600000000000000000,2215114584461591111840071851,374117000000000000000000,368389000000000000000000,0,0
2025-03-02,10076520274047006230000,206217600000000000000000,2216751736826808721437457701,377626000000000000000000,371770000000000000000000,0,0
2025-03-03,10076769811079801290000,206216600000000000000000,2217241067034586449531984501,382376000000000000000000,376519000000000000000000,0,0
2025-03-04,10076927110702318610000,206216600000000000000000,2217556251424254627498234501,385501000000000000000000,379644000000000000000000,0,0
2025-03-05,10077272994522496120000,206216600000000000000000,2218249864263147577955508701,392370000000000000000000,386513000000000000000000,0,0
2025-03-06,10077304104769965030000,206216600000000000000000,2218312152720608811704043701,392988000000000000000000,387131000000000000000000,0,0
2025-03-07,10077484106214727910000,206216600000000000000000,2218672791696599913956237451,396563000000000000000000,390706000000000000000000,0,0
2025-03-08,10077538379674857580000,206216600000000000000000,2218781460326828417510669751,397641000000000000000000,391784000000000000000000,0,0
2025-03-09,10077548348056281900000,206216600000000000000000,2218801414968911559517346451,397839000000000000000000,391982000000000000000000,0,0
2025-03-10,10077807610248987150000,206216600000000000000000,2219320997463701430510226851,402987000000000000000000,397130000000000000000000,0,0
2025-03-11,10073949948008967270000,206612600000000000000000,2215893797478664413610607151,408366000000000000000000,402905000000000000000000,0,0
2025-03-12,10078144818123848320000,206216600000000000000000,2219996596489182299163813951,409682000000000000000000,403825000000000000000000,0,0
2025-03-13,10078200014942862890000,206216600000000000000000,2220107087476335714643301151,410778000000000000000000,404921000000000000000000,0,0
2025-03-14,10078233102875363720000,206216600000000000000000,2220173313605612461772629851,411435000000000000000000,405578000000000000000000,0,0
2025-03-15,10078653711900080180000,206228600000000000000000,2221148651545203039918143251,422270000000000000000000,416425000000000000000000,0,0
2025-03-16,10078821064229681740000,206216600000000000000000,2221352664509620095589852151,423100000000000000000000,417243000000000000000000,0,0
2025-03-17,10079018481056044150000,206216600000000000000000,2221748006194573611679191251,427018000000000000000000,421161000000000000000000,0,0
2025-03-18,10079194595112863600000,206216600000000000000000,2222100627424029410106257501,430513000000000000000000,424656000000000000000000,0,0
2025-03-19,10079314827335454730000,206216600000000000000000,2222341282890731408469256401,432899000000000000000000,427042000000000000000000,0,0
2025-03-20,10078712818295507840000,206276600000000000000000,2221791178597868262212594801,433411000000000000000000,427614000000000000000000,0,0
2025-03-21,10079429999189440140000,206218600000000000000000,2222593607219278231511795051,435600000000000000000000,429745000000000000000000,0,0
2025-03-22,10079549652731741710000,206219600000000000000000,2222844023634603484583663201,438182000000000000000000,432328000000000000000000,0,0
2025-03-23,10077563230134051400000,206425600000000000000000,2221113473085295085327696851,441505000000000000000000,435857000000000000000000,0,0
2025-03-24,10079847037461260810000,206216600000000000000000,2223406426280336585225688801,443459000000000000000000,437602000000000000000000,0,0
2025-03-25,10079930506176447760000,206216600000000000000000,2223573428000761761606716001,445115000000000000000000,439258000000000000000000,0,0
2025-03-26,10080006214964276950000,206216600000000000000000,2223724893835693992918765501,446617000000000000000000,440760000000000000000000,0,0
2025-03-27,9970377608173477095254,217495600000000000000000,2112607899535971064199847820,460292000000000000000000,465714000000000000000000,0,0
2025-03-28,10005764766899828770000,213788600000000000000000,2150014130668505092920022335,465948000000000000000000,467663000000000000000000,0,0
2025-04-01,10063619387206849360000,207971600000000000000000,2209724719001657429620956285,482172000000000000000000,478070000000000000000000,0,0
2025-04-02,10058584636821763350000,208479600000000000000000,2204929669515536848433794085,485056000000000000000000,481462000000000000000000,0,0
2025-04-03,10082147740065297150000,206216600000000000000000,2228008239093559821902289185,489060000000000000000000,483203000000000000000000,0,0
2025-04-04,10081523140877916970000,206290600000000000000000,2227569344504677077248623385,492067000000000000000000,486284000000000000000000,0,0
2025-04-05,10081364035335702910000,206312600000000000000000,2227491776092320533720634585,493486000000000000000000,487725000000000000000000,0,0
2025-04-06,10054044543336421580000,208976600000000000000000,2200959352115515853184008385,495010000000000000000000,491913000000000000000000,0,0
2025-04-07,10050657171002907030000,209317600000000000000000,2197639241655695990927438835,495911000000000000000000,493155000000000000000000,0,0
2025-04-08,10017390399675295550000,212720600000000000000000,2163834436295906472987126235,497601000000000000000000,498248000000000000000000,0,0
2025-04-09,10025955940517851140000,211839600000000000000000,2172799006643126170745063335,499393000000000000000000,499159000000000000000000,0,0
2025-04-10,10021453773453308260000,212310600000000000000000,2168195905164068667557119585,500335000000000000000000,500572000000000000000000,0,0
2025-04-11,10008336546444310970000,213691600000000000000000,2154525302478400299701257535,501241000000000000000000,502859000000000000000000,0,0
2025-04-12,9953307668162395386496,219458600000000000000000,2097328231873093420974162558,502001000000000000000000,509386000000000000000000,0,0
2025-04-13,9937425051618750004709,221059600000000000000000,2081520998714043277081177794,502360000000000000000000,511346000000000000000000,0,0
2025-04-14,9966818234604827606562,218103600000000000000000,2111311114886646846093214696,507567000000000000000000,513597000000000000000000,0,0
2025-04-15,10006133571081137270000,213979600000000000000000,2152743789908994913179950989,512111000000000000000000,514017000000000000000000,0,0
2025-04-16,10003876455608420420000,214225600000000000000000,2150406757471701280871338389,513229000000000000000000,515381000000000000000000,0,0
2025-04-17,9836811400427761790209,230645600000000000000000,1988610654912441332884178681,516467000000000000000000,535039000000000000000000,0,0
2025-04-18,9792685349042192962830,234527600000000000000000,1950943791806056920197608822,518949000000000000000000,541403000000000000000000,0,0
2025-04-19,9777564628300696994721,235818600000000000000000,1938440332404261319242863153,519623000000000000000000,543368000000000000000000,0,0
2025-04-20,9758249684128600878944,237446600000000000000000,1922807558877075603356899143,521565000000000000000000,546938000000000000000000,0,0
2025-04-21,9659120955131551103919,245319600000000000000000,1846997822478448655151799049,524132000000000000000000,557378000000000000000000,0,0
2025-04-22,9653600333809057537667,245741600000000000000000,1843020401256266294161470398,524931000000000000000000,558599000000000000000000,0,0
2025-04-23,9651781301071238654203,245894600000000000000000,1841819926211821467397886060,527715000000000000000000,561536000000000000000000,0,0
2025-04-24,9623471973061519683520,248003600000000000000000,1821638535990783881222736772,528159000000000000000000,564089000000000000000000,0,0
2025-05-02,9644221448223163010090,246489600000000000000000,1836571342539799066898798916,532515000000000000000000,566931000000000000000000,0,0
2025-05-03,9605577841162670704565,249348600000000000000000,1809429204256236767877803429,534984000000000000000000,572259000000000000000000,0,0
2025-05-04,9628356410924032734998,247735600000000000000000,1825746057833032439032224933,544134000000000000000000,579796000000000000000000,0,0
2025-05-05,9325768972723258195424,267621600000000000000000,1638288864316704178065370907,545937000000000000000000,601485000000000000000000,0,0
2025-05-06,9287768428580161904908,269827600000000000000000,1617922274696905110815879920,546598000000000000000000,604352000000000000000000,0,0
2025-05-07,9286478769636562777539,269912600000000000000000,1617305064267774174413114536,548408000000000000000000,606247000000000000000000,0,0
2025-05-08,9289261265889108306525,269758600000000000000000,1618806379806017075056784872,549249000000000000000000,606934000000000000000000,0,0
2025-05-09,9246929013984343524548,272155600000000000000000,1596784769167722989977403388,550144000000000000000000,610226000000000000000000,0,0
2025-05-10,9237726901251352324053,272671600000000000000000,1592109493534361116053952039,550900000000000000000000,611498000000000000000000,0,0
2025-05-11,9235231607176916293706,272814600000000000000000,1590867174718721995132199143,551678000000000000000000,612419000000000000000000,0,0
2025-05-12,9222922287395504318585,273493600000000000000000,1584643875359241541074335864,551807000000000000000000,613227000000000000000000,0,0
2025-05-13,9227390369198812504920,273252600000000000000000,1586923103616109149798583478,552534000000000000000000,613713000000000000000000,0,0
2025-05-14,9194535717625001271664,275043600000000000000000,1570526858868803034991933092,552731000000000000000000,615701000000000000000000,0,0
