block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10001699149541945120000,133547000000000000000000,1337723413567483272519403045,20082000000000000000000,20069000000000000000000,0,0
2024-12-26,10001740668726358580000,133547000000000000000000,1337778811562534578417406302,20636000000000000000000,20623000000000000000000,0,0
2024-12-27,10001841172697873110000,133547000000000000000000,1337912868114475034285199859,21977000000000000000000,21964000000000000000000,0,0
2024-12-28,10001872276738252840000,133547000000000000000000,1337954369345036558562602325,22392000000000000000000,22379000000000000000000,0,0
2024-12-29,10001894836838363270000,133547000000000000000000,1337984471606627602340120832,22693000000000000000000,22680000000000000000000,0,0
2024-12-30,10001896410808314990000,133547000000000000000000,1337986571988086324148974682,22714000000000000000000,22701000000000000000000,0,0
2024-12-31,10001896485759295910000,133547000000000000000000,1337986672007013109064015232,22715000000000000000000,22702000000000000000000,0,0
2025-01-01,10001975935376178950000,133547000000000000000000,1338092650356922123546132010,23775000000000000000000,23762000000000000000000,0,0
2025-01-02,10001980582526755660000,133547000000000000000000,1338098851438586248981962310,23837000000000000000000,23824000000000000000000,0,0
2025-01-03,10001991151086749060000,133547000000000000000000,1338112953489907095867135570,23978000000000000000000,23965000000000000000000,0,0
2025-01-04,10001991375950333210000,133547000000000000000000,1338113253549305693249091420,23981000000000000000000,23968000000000000000000,0,0
2025-01-05,10002009215208442370000,133547000000000000000000,1338137056178358312379288959,24219000000000000000000,24206000000000000000000,0,0
2025-01-06,10002009365118847220000,133547000000000000000000,1338137256218393308190334859,24221000000000000000000,24208000000000000000000,0,0
2025-01-07,10002013112882614540000,133547000000000000000000,1338142257129791827445659859,24271000000000000000000,24258000000000000000000,0,0
2025-01-08,10002037923255593040000,133547000000000000000000,1338175359713432170560525265,24602000000000000000000,24589000000000000000000,0,0
2025-01-09,10002051340473496410000,133547000000000000000000,1338193262166926149827374990,24781000000000000000000,24768000000000000000000,0,0
2025-01-10,10002058011637625000000,133547000000000000000000,1338202163697132332212745040,24870000000000000000000,24857000000000000000000,0,0
2025-01-11,10002063333593474640000,133547000000000000000000,1338209264970243237477020990,24941000000000000000000,24928000000000000000000,0,0
2025-01-12,10002067231372923260000,133547000000000000000000,1338214465942276772096448790,24993000000000000000000,24980000000000000000000,0,0
2025-01-13,10002076226277514480000,133547000000000000000000,1338226467885890142833796790,25113000000000000000000,25100000000000000000000,0,0
2025-01-14,10002081173492250120000,133547000000000000000000,1338233069093670092098057690,25179000000000000000000,25166000000000000000000,0,0
2025-01-15,10002117828236543190000,133547000000000000000000,1338281970372061482970075429,25668000000000000000000,25655000000000000000000,0,0
2025-01-16,10001497644895247820000,133593000000000000000000,1337917370270195186199851782,26600000000000000000000,26633000000000000000000,0,0
2025-01-17,10002199910306184350000,133547000000000000000000,1338391457181623279286616953,26763000000000000000000,26750000000000000000000,0,0
2025-01-18,10002225022845204040000,133547000000000000000000,1338424960371923524590014860,27098000000000000000000,27085000000000000000000,0,0
