period,token_standard,token_id,total_sell,total_buy,total_volume,total_supply,turnover_rate,turnover_rate_percent,adjusted_turnover_rate,adjusted_turnover_rate_percent
2024-12-22,erc1155,8,0,3016,3016,26775,0.11264239,11.2642,-0.88735761,-88.7358
2024-12-22,erc1155,9,0,105946,105946,308553,0.34336402,34.3364,-0.65663598,-65.6636
2024-12-23,erc1155,10,0,9898,9898,33075,0.29925926,29.9259,-0.70074074,-70.0741
2024-12-23,erc1155,11,0,61928,61928,692451,0.08943304,8.9433,-0.91056696,-91.0567
2024-12-23,erc1155,12,0,54908,54908,444140,0.12362768,12.3628,-0.87637232,-87.6372
2024-12-23,erc1155,13,0,117395,117395,648943,0.18090187,18.0902,-0.81909813,-81.9098
2024-12-23,erc1155,14,0,11581,11581,31500,0.36765079,36.7651,-0.63234921,-63.2349
2024-12-23,erc1155,16,0,228374,228374,626260,0.36466324,36.4663,-0.63533676,-63.5337
2024-12-23,erc1155,17,1,227155,227156,522584,0.43467844,43.4678,-0.56532156,-56.5322
2024-12-23,erc1155,18,0,189785,189785,706912,0.26847047,26.8470,-0.73152953,-73.1530
2024-12-23,erc1155,19,0,188581,188581,445200,0.42358715,42.3587,-0.57641285,-57.6413
2024-12-23,erc1155,20,0,195918,195918,619080,0.31646637,31.6466,-0.68353363,-68.3534
2024-12-23,erc1155,22,0,114788,114788,641539,0.17892599,17.8926,-0.82107401,-82.1074
2024-12-23,erc1155,23,0,118585,118585,741286,0.15997199,15.9972,-0.84002801,-84.0028
2024-12-23,erc1155,25,1,1,2,1213275,0.00000165,0.0002,-0.99999835,-99.9998
2024-12-23,erc1155,3,0,12712,12712,165356,0.07687656,7.6877,-0.92312344,-92.3123
2024-12-23,erc1155,4,0,3465,3465,238409,0.01453385,1.4534,-0.98546615,-98.5466
2024-12-23,erc1155,5,0,4147,4147,38010,0.10910287,10.9103,-0.89089713,-89.0897
2024-12-23,erc1155,6,0,7463,7463,445200,0.01676325,1.6763,-0.98323675,-98.3237
2024-12-23,erc1155,7,1,5237,5238,33663,0.15560111,15.5601,-0.84439889,-84.4399
2024-12-23,erc1155,8,0,3028,3028,26775,0.11309057,11.3091,-0.88690943,-88.6909
2024-12-23,erc1155,9,0,16997,16997,308553,0.05508616,5.5086,-0.94491384,-94.4914
2024-12-24,erc1155,10,0,3365,3365,33075,0.10173847,10.1738,-0.89826153,-89.8262
2024-12-24,erc1155,11,0,10299,10299,692451,0.01487325,1.4873,-0.98512675,-98.5127
2024-12-24,erc1155,12,0,25406,25406,444140,0.05720268,5.7203,-0.94279732,-94.2797
2024-12-24,erc1155,13,0,12679,12679,648943,0.01953793,1.9538,-0.98046207,-98.0462
2024-12-24,erc1155,14,0,6629,6629,31500,0.21044444,21.0444,-0.78955556,-78.9556
2024-12-24,erc1155,16,0,18569,18569,626260,0.02965062,2.9651,-0.97034938,-97.0349
2024-12-24,erc1155,17,0,38295,38295,522584,0.07328009,7.3280,-0.92671991,-92.6720
2024-12-24,erc1155,18,0,72817,72817,706912,0.10300716,10.3007,-0.89699284,-89.6993
2024-12-24,erc1155,19,0,7026,7026,445200,0.01578167,1.5782,-0.98421833,-98.4218
2024-12-24,erc1155,20,0,57650,57650,619080,0.09312205,9.3122,-0.90687795,-90.6878
2024-12-24,erc1155,22,0,104494,104494,641539,0.16288020,16.2880,-0.83711980,-83.7120
2024-12-24,erc1155,23,0,153206,153206,741286,0.20667597,20.6676,-0.79332403,-79.3324
2024-12-24,erc1155,3,0,2198,2198,165356,0.01329253,1.3293,-0.98670747,-98.6707
2024-12-24,erc1155,4,0,1354,1354,238409,0.00567932,0.5679,-0.99432068,-99.4321
2024-12-24,erc1155,5,0,2058,2058,38010,0.05414365,5.4144,-0.94585635,-94.5856
