block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10077291953074160720000,9109000000000000000000,97995907278269161267640450,894000000000000000000,553000000000000000000,0,0
2024-12-26,10063869821894894310000,9171000000000000000000,97473221628358158193375750,1865000000000000000000,1586000000000000000000,0,0
2024-12-27,10079128641932665980000,9109000000000000000000,98158950356705597012180400,2502000000000000000000,2161000000000000000000,0,0
2024-12-28,10079227884475542060000,9109000000000000000000,98167724171586625192110150,2589000000000000000000,2248000000000000000000,0,0
2024-12-29,10079903971816097000000,9109000000000000000000,98227650114720687422990950,3181000000000000000000,2840000000000000000000,0,0
2024-12-30,10079235193289893730000,9112000000000000000000,98201292992369373473246750,3218000000000000000000,2880000000000000000000,0,0
2024-12-31,10080076287211790150000,9109000000000000000000,98242879872935106405325700,3332000000000000000000,2991000000000000000000,0,0
2025-01-01,10080334261638638660000,9109000000000000000000,98265695466319311244286600,3558000000000000000000,3217000000000000000000,0,0
2025-01-02,10080761357139919050000,9109000000000000000000,98303493845791252259872500,3932000000000000000000,3591000000000000000000,0,0
2025-01-03,10080844691611035730000,9109000000000000000000,98310856302341008453700100,4005000000000000000000,3664000000000000000000,0,0
2025-01-04,10081021663158028040000,9109000000000000000000,98326497672921949893362100,4160000000000000000000,3819000000000000000000,0,0
2025-01-05,10081069612877706780000,9109000000000000000000,98330732853816087201428100,4202000000000000000000,3861000000000000000000,0,0
2025-01-06,10073340104933258520000,9143000000000000000000,98016174417301087190010500,4463000000000000000000,4156000000000000000000,0,0
2025-01-07,10081422504761257870000,9109000000000000000000,98361929578068052021992900,4511000000000000000000,4170000000000000000000,0,0
2025-01-08,10060017567646586300000,9201000000000000000000,97450244521470822798576750,4612000000000000000000,4363000000000000000000,0,0
2025-01-09,10081705714779862990000,9109000000000000000000,98386935766302156638722550,4759000000000000000000,4418000000000000000000,0,0
2025-01-10,10035506907557803580000,9310000000000000000000,96375718037768496744474250,4763000000000000000000,4623000000000000000000,0,0
2025-01-11,10082087218413397770000,9109000000000000000000,98420598149029168165408750,5093000000000000000000,4752000000000000000000,0,0
2025-01-12,10082100924631250540000,9109000000000000000000,98421808093101366334234750,5105000000000000000000,4764000000000000000000,0,0
2025-01-13,10082155752340264550000,9109000000000000000000,98426649010635877844060350,5153000000000000000000,4812000000000000000000,0,0
2025-01-14,10082184308328807580000,9109000000000000000000,98429169957006945410322850,5178000000000000000000,4837000000000000000000,0,0
2025-01-15,10082585466597099560000,9109000000000000000000,98464644519200202702717100,5529000000000000000000,5188000000000000000000,0,0
2025-01-16,10082742009519698520000,9109000000000000000000,98478470198335270997691250,5666000000000000000000,5325000000000000000000,0,0
2025-01-17,10082882562570032570000,9109000000000000000000,98490882049435096086020500,5789000000000000000000,5448000000000000000000,0,0
2025-01-18,10084117169195313900000,9109000000000000000000,98600429889245661682952050,6866000000000000000000,6525000000000000000000,0,0
2025-01-19,10083953477348022610000,9110000000000000000000,98596953700168030279068250,6931000000000000000000,6591000000000000000000,0,0
2025-01-20,10084324128770399680000,9109000000000000000000,98618693838523729690234700,7047000000000000000000,6706000000000000000000,0,0
2025-01-21,10084397309748656770000,9109000000000000000000,98625150508141974096215500,7111000000000000000000,6770000000000000000000,0,0
2025-01-22,10084628345686297050000,9109000000000000000000,98645548711150057478401900,7313000000000000000000,6972000000000000000000,0,0
2025-01-23,10084700393318448120000,9109000000000000000000,98651904646215679386580900,7376000000000000000000,7035000000000000000000,0,0
2025-01-24,10085009287546855470000,9109000000000000000000,98679183613521349107921400,7646000000000000000000,7305000000000000000000,0,0
2025-01-25,10085047031954438330000,9109000000000000000000,98682512381189174637257950,7679000000000000000000,7338000000000000000000,0,0
2025-01-26,10085454456581121590000,9109000000000000000000,98718504239716416929132350,8035000000000000000000,7694000000000000000000,0,0
2025-01-27,10085480768396274750000,9109000000000000000000,98720824240909921881747100,8058000000000000000000,7717000000000000000000,0,0
2025-01-28,10085533394256771000000,9109000000000000000000,98725464955502628342319400,8104000000000000000000,7763000000000000000000,0,0
2025-01-29,10085535682264627990000,9109000000000000000000,98725666668780688091018800,8106000000000000000000,7765000000000000000000,0,0
2025-01-30,10085693585347963460000,9109000000000000000000,98739597495749966452119700,8244000000000000000000,7903000000000000000000,0,0
2025-01-31,10085763380154099320000,9109000000000000000000,98745752227836482948850050,8305000000000000000000,7964000000000000000000,0,0
2025-02-01,10085177773627979940000,9112000000000000000000,98727052350248145160846700,8418000000000000000000,8080000000000000000000,0,0
2025-02-02,10085913282080616460000,9109000000000000000000,98758973278124750448329300,8436000000000000000000,8095000000000000000000,0,0
2025-02-03,10085955619582768400000,9109000000000000000000,98762705966526902502200100,8473000000000000000000,8132000000000000000000,0,0
2025-02-04,10086059756879308910000,9109000000000000000000,98771889695712764723240150,8564000000000000000000,8223000000000000000000,0,0
2025-02-05,10086174200553972460000,9109000000000000000000,98781982422559132501095150,8664000000000000000000,8323000000000000000000,0,0
2025-02-06,10086219976560215450000,9109000000000000000000,98786017945805087951169150,8704000000000000000000,8363000000000000000000,0,0
2025-02-07,10086239431194162920000,9109000000000000000000,98787732792601716385635450,8721000000000000000000,8380000000000000000000,0,0
2025-02-08,10086255452741367430000,9109000000000000000000,98789144994497404766006150,8735000000000000000000,8394000000000000000000,0,0
2025-02-09,10086273763263582600000,9109000000000000000000,98790758963118503833618150,8751000000000000000000,8410000000000000000000,0,0
2025-02-10,10086338998598743070000,9109000000000000000000,98796510286572124925518150,8808000000000000000000,8467000000000000000000,0,0
2025-02-11,10086421405365069230000,9109000000000000000000,98803775888188767599753350,8880000000000000000000,8539000000000000000000,0,0
2025-02-12,10086643497962244520000,9109000000000000000000,98823369158372917726672150,9074000000000000000000,8733000000000000000000,0,0
2025-02-13,10086675547646639550000,9109000000000000000000,98826193933917088133769350,9102000000000000000000,8761000000000000000000,0,0
2025-02-14,10086944629790147250000,9109000000000000000000,98849935550314219670030350,9337000000000000000000,8996000000000000000000,0,0
2025-02-15,10087060265681459100000,9109000000000000000000,98860130177197814626183650,9438000000000000000000,9097000000000000000000,0,0
2025-02-16,10087259514424637690000,9109000000000000000000,98877702200833180104646350,9612000000000000000000,9271000000000000000000,0,0
2025-02-17,10087479402532840350000,9109000000000000000000,98897094851382283386799950,9804000000000000000000,9463000000000000000000,0,0
2025-02-18,10087544674426972990000,9109000000000000000000,98902846866479402363739450,9861000000000000000000,9520000000000000000000,0,0
2025-02-19,10087743968141857000000,9109000000000000000000,98920419749871971048694450,10035000000000000000000,9694000000000000000000,0,0
2025-02-20,10087769162707460380000,9109000000000000000000,98922639371903499418008450,10057000000000000000000,9716000000000000000000,0,0
2025-02-21,10087798938606854040000,9109000000000000000000,98925262636926763497250550,10083000000000000000000,9742000000000000000000,0,0
2025-02-22,10087843603845900950000,9109000000000000000000,98929197882635364886902500,10122000000000000000000,9781000000000000000000,0,0
2025-02-23,10087871090168845250000,9109000000000000000000,98931619344196381735152500,10146000000000000000000,9805000000000000000000,0,0
