period,token_standard,token_id,total_sell,total_buy,total_volume,total_supply,turnover_rate,turnover_rate_percent,adjusted_turnover_rate,adjusted_turnover_rate_percent
2025-02,erc1155,7,1899,1899,3798,33663,0.11282417,11.2824,-0.88717583,-88.7176
2025-02,erc1155,8,733,733,1466,26775,0.05475257,5.4753,-0.94524743,-94.5247
2025-02,erc1155,9,21906,31819,53725,308553,0.17411920,17.4119,-0.82588080,-82.5881
2025-03,erc1155,10,1120,1120,2240,33075,0.06772487,6.7725,-0.93227513,-93.2275
2025-03,erc1155,11,44118,44118,88236,692451,0.12742562,12.7426,-0.87257438,-87.2574
2025-03,erc1155,12,49003,49022,98025,444140,0.22070743,22.0707,-0.77929257,-77.9293
2025-03,erc1155,13,36576,36576,73152,648943,0.11272485,11.2725,-0.88727515,-88.7275
2025-03,erc1155,14,2904,2904,5808,31500,0.18438095,18.4381,-0.81561905,-81.5619
2025-03,erc1155,16,33133,33133,66266,626260,0.10581228,10.5812,-0.89418772,-89.4188
2025-03,erc1155,17,50253,50254,100507,522584,0.19232698,19.2327,-0.80767302,-80.7673
2025-03,erc1155,18,99274,91831,191105,706912,0.27033775,27.0338,-0.72966225,-72.9662
2025-03,erc1155,19,32729,32729,65458,445200,0.14703055,14.7031,-0.85296945,-85.2969
2025-03,erc1155,20,82996,82996,165992,619080,0.26812690,26.8127,-0.73187310,-73.1873
2025-03,erc1155,22,123322,114970,238292,641539,0.37143806,37.1438,-0.62856194,-62.8562
2025-03,erc1155,23,33942,33942,67884,741286,0.09157599,9.1576,-0.90842401,-90.8424
2025-03,erc1155,24,41732,74282,116014,32550,3.56417819,356.4178,2.56417819,256.4178
2025-03,erc1155,25,141758,141758,283516,1213275,0.23367827,23.3678,-0.76632173,-76.6322
2025-03,erc1155,27,15239,550988,566227,1435061,0.39456650,39.4567,-0.60543350,-60.5433
2025-03,erc1155,3,6412,6407,12819,165356,0.07752365,7.7524,-0.92247635,-92.2476
2025-03,erc1155,4,18755,18755,37510,238409,0.15733466,15.7335,-0.84266534,-84.2665
2025-03,erc1155,5,1452,1452,2904,38010,0.07640095,7.6401,-0.92359905,-92.3599
2025-03,erc1155,6,55532,55532,111064,445200,0.24946990,24.9470,-0.75053010,-75.0530
2025-03,erc1155,7,1498,1498,2996,33663,0.08899979,8.9000,-0.91100021,-91.1000
2025-03,erc1155,8,858,858,1716,26775,0.06408964,6.4090,-0.93591036,-93.5910
2025-03,erc1155,9,16630,16630,33260,308553,0.10779347,10.7793,-0.89220653,-89.2207
2025-04,erc1155,10,1914,1914,3828,33075,0.11573696,11.5737,-0.88426304,-88.4263
2025-04,erc1155,11,23558,23558,47116,692451,0.06804236,6.8042,-0.93195764,-93.1958
2025-04,erc1155,12,72596,72596,145192,444140,0.32690593,32.6906,-0.67309407,-67.3094
2025-04,erc1155,13,46855,46855,93710,648943,0.14440405,14.4404,-0.85559595,-85.5596
2025-04,erc1155,14,4363,4363,8726,31500,0.27701587,27.7016,-0.72298413,-72.2984
2025-04,erc1155,16,53383,53383,106766,626260,0.17048191,17.0482,-0.82951809,-82.9518
2025-04,erc1155,17,58779,48323,107102,522584,0.20494696,20.4947,-0.79505304,-79.5053
2025-04,erc1155,18,96426,62211,158637,706912,0.22440841,22.4408,-0.77559159,-77.5592
2025-04,erc1155,19,33662,33662,67324,445200,0.15122192,15.1222,-0.84877808,-84.8778
2025-04,erc1155,20,94176,82301,176477,619080,0.28506332,28.5063,-0.71493668,-71.4937
2025-04,erc1155,22,110753,119105,229858,641539,0.35829155,35.8292,-0.64170845,-64.1708
2025-04,erc1155,23,101518,99159,200677,741286,0.27071468,27.0715,-0.72928532,-72.9285
2025-04,erc1155,24,11489,11489,22978,32550,0.70592934,70.5929,-0.29407066,-29.4071
2025-04,erc1155,25,209606,197360,406966,1213275,0.33542766,33.5428,-0.66457234,-66.4572
2025-04,erc1155,27,305391,782580,1087971,1435061,0.75813572,75.8136,-0.24186428,-24.1864
2025-04,erc1155,3,31048,31053,62101,165356,0.37555940,37.5559,-0.62444060,-62.4441
2025-04,erc1155,4,47716,47716,95432,238409,0.40028690,40.0287,-0.59971310,-59.9713
2025-04,erc1155,5,1961,1961,3922,38010,0.10318337,10.3183,-0.89681663,-89.6817
2025-04,erc1155,6,8688,8688,17376,445200,0.03902965,3.9030,-0.96097035,-96.0970
2025-04,erc1155,7,1851,1851,3702,33663,0.10997237,10.9972,-0.89002763,-89.0028
2025-04,erc1155,8,1108,1108,2216,26775,0.08276377,8.2764,-0.91723623,-91.7236
2025-04,erc1155,9,27842,27835,55677,308553,0.18044550,18.0445,-0.81955450,-81.9555
2025-05,erc1155,10,3061,3061,6122,33075,0.18509448,18.5094,-0.81490552,-81.4906
2025-05,erc1155,11,63829,63829,127658,692451,0.18435673,18.4357,-0.81564327,-81.5643
2025-05,erc1155,12,100756,43781,144537,444140,0.32543117,32.5431,-0.67456883,-67.4569
2025-05,erc1155,13,91568,91568,183136,648943,0.28220660,28.2207,-0.71779340,-71.7793
2025-05,erc1155,14,2636,2636,5272,31500,0.16736508,16.7365,-0.83263492,-83.2635
2025-05,erc1155,16,110370,100635,211005,626260,0.33692875,33.6929,-0.66307125,-66.3071
2025-05,erc1155,17,113957,51140,165097,522584,0.31592433,31.5924,-0.68407567,-68.4076
2025-05,erc1155,18,100329,98737,199066,706912,0.28159941,28.1599,-0.71840059,-71.8401
2025-05,erc1155,19,46867,46867,93734,445200,0.21054358,21.0544,-0.78945642,-78.9456
2025-05,erc1155,20,117953,129828,247781,619080,0.40024068,40.0241,-0.59975932,-59.9759
2025-05,erc1155,22,114135,88184,202319,641539,0.31536508,31.5365,-0.68463492,-68.4635
2025-05,erc1155,23,110765,111385,222150,741286,0.29968190,29.9682,-0.70031810,-70.0318
2025-05,erc1155,24,6340,6340,12680,32550,0.38955453,38.9555,-0.61044547,-61.0445
2025-05,erc1155,25,272329,284575,556904,1213275,0.45900888,45.9009,-0.54099112,-54.0991
2025-05,erc1155,27,566497,816752,1383249,1435061,0.96389561,96.3896,-0.03610439,-3.6104
