block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10031864750558328720000,11227000000000000000000,115813431649040536483406800,294000000000000000000,118000000000000000000,0,0
2024-12-26,10032119056649793340000,11227000000000000000000,115841661065406149626770750,575000000000000000000,399000000000000000000,0,0
2024-12-27,10032152539510080800000,11227000000000000000000,115845373612038061009500350,612000000000000000000,436000000000000000000,0,0
2024-12-28,10031916984599311520000,11229000000000000000000,115840067190527408990979450,758000000000000000000,584000000000000000000,0,0
2024-12-29,10032394185464302500000,11227000000000000000000,115872177095678735004052600,879000000000000000000,703000000000000000000,0,0
2024-12-30,10032446679784497720000,11227000000000000000000,115877997519270240808638500,937000000000000000000,761000000000000000000,0,0
2024-12-31,10032494649811819220000,11227000000000000000000,115883316080175519668250750,990000000000000000000,814000000000000000000,0,0
2025-01-01,10032539905529009010000,11227000000000000000000,115888333541074772753390750,1040000000000000000000,864000000000000000000,0,0
2025-01-02,10032568869522334640000,11227000000000000000000,115891544449406624392208350,1072000000000000000000,896000000000000000000,0,0
2025-01-03,10032594213316279090000,11227000000000000000000,115894353947860650047561150,1100000000000000000000,924000000000000000000,0,0
2025-01-04,10032604169837168050000,11227000000000000000000,115895457591573657500901400,1111000000000000000000,935000000000000000000,0,0
2025-01-05,10032638565771664020000,11227000000000000000000,115899270680794322884097500,1149000000000000000000,973000000000000000000,0,0
2025-01-06,10031918510490128490000,11231000000000000000000,115861047869928964368733750,1166000000000000000000,994000000000000000000,0,0
2025-01-07,10032658479306246590000,11227000000000000000000,115901477994827032334649850,1171000000000000000000,995000000000000000000,0,0
2025-01-08,10033227313556602240000,11227000000000000000000,115964695421049387169292250,1799000000000000000000,1623000000000000000000,0,0
2025-01-09,10033009550849147910000,11229000000000000000000,115961398193345444018947650,1965000000000000000000,1791000000000000000000,0,0
2025-01-10,10009513217692886670000,11359000000000000000000,114666660966149880197284900,1980000000000000000000,1936000000000000000000,0,0
2025-01-11,10033554206783484900000,11227000000000000000000,116000922840359756844067900,2160000000000000000000,1984000000000000000000,0,0
2025-01-12,10033593146586279890000,11227000000000000000000,116005238166905761429891250,2203000000000000000000,2027000000000000000000,0,0
2025-01-13,10033610352634250270000,11227000000000000000000,116007144724256281990957100,2222000000000000000000,2046000000000000000000,0,0
2025-01-14,10033656538533361070000,11227000000000000000000,116012263130990416864156100,2273000000000000000000,2097000000000000000000,0,0
2025-01-15,10033739858344105220000,11227000000000000000000,116021498242955525225264100,2365000000000000000000,2189000000000000000000,0,0
2025-01-16,10033789669922551010000,11227000000000000000000,116027018273002946757412100,2420000000000000000000,2244000000000000000000,0,0
2025-01-17,10033875712429014470000,11227000000000000000000,116036554799488713931918100,2515000000000000000000,2339000000000000000000,0,0
2025-01-18,10033942736874414300000,11227000000000000000000,116043982543786104305947200,2589000000000000000000,2413000000000000000000,0,0
2025-01-19,10033983495570463450000,11227000000000000000000,116048498802811242261053700,2634000000000000000000,2458000000000000000000,0,0
2025-01-20,10034035124652988430000,11227000000000000000000,116054219756884557124012950,2691000000000000000000,2515000000000000000000,0,0
2025-01-21,10034048711259835780000,11227000000000000000000,116055724971022738826575200,2706000000000000000000,2530000000000000000000,0,0
2025-01-22,10034150164835667530000,11227000000000000000000,116066969279099157822139200,2818000000000000000000,2642000000000000000000,0,0
2025-01-23,10034173716414257750000,11227000000000000000000,116069578485932013807629900,2844000000000000000000,2668000000000000000000,0,0
2025-01-24,10034205420989694670000,11227000000000000000000,116073091041689671186593900,2879000000000000000000,2703000000000000000000,0,0
2025-01-25,10034234408425495250000,11227000000000000000000,116076302484529091704283500,2911000000000000000000,2735000000000000000000,0,0
2025-01-26,10034252525703700620000,11227000000000000000000,116078309525197146150196500,2931000000000000000000,2755000000000000000000,0,0
2025-01-27,10034280607907914130000,11227000000000000000000,116081420609960852535686200,2962000000000000000000,2786000000000000000000,0,0
2025-01-28,10034356705183481240000,11227000000000000000000,116089852862771406267990400,3046000000000000000000,2870000000000000000000,0,0
2025-01-29,10034364858393000690000,11227000000000000000000,116090755994050465720762450,3055000000000000000000,2879000000000000000000,0,0
2025-01-30,10033187514052182990000,11234000000000000000000,116033220089500362743692150,3178000000000000000000,3009000000000000000000,0,0
2025-01-31,10034520687360680980000,11227000000000000000000,116108023464289158654446500,3227000000000000000000,3051000000000000000000,0,0
2025-02-01,10034199298278656000000,11229000000000000000000,116093274309845319808676500,3279000000000000000000,3105000000000000000000,0,0
2025-02-02,10034576859766663370000,11227000000000000000000,116114246219381802074707400,3289000000000000000000,3113000000000000000000,0,0
2025-02-03,10034596792106962730000,11227000000000000000000,116116454061003921184260900,3311000000000000000000,3135000000000000000000,0,0
2025-02-04,10034636657687079790000,11227000000000000000000,116120870226086643354528500,3355000000000000000000,3179000000000000000000,0,0
2025-02-05,10034691927529782410000,11227000000000000000000,116126993171444072459717750,3416000000000000000000,3240000000000000000000,0,0
2025-02-06,10034720015722773980000,11227000000000000000000,116130104392804315617332450,3447000000000000000000,3271000000000000000000,0,0
2025-02-07,10034732700763300220000,11227000000000000000000,116131509348548591514453450,3461000000000000000000,3285000000000000000000,0,0
2025-02-08,10034744479795451110000,11227000000000000000000,116132813945650698240640300,3474000000000000000000,3298000000000000000000,0,0
2025-02-09,10034761695459991040000,11227000000000000000000,116134720722129915390923800,3493000000000000000000,3317000000000000000000,0,0
2025-02-10,10034835091977162680000,11227000000000000000000,116142852094863046632778300,3574000000000000000000,3398000000000000000000,0,0
2025-02-11,10034921178204961960000,11227000000000000000000,116152389623102715340623050,3669000000000000000000,3493000000000000000000,0,0
2025-02-12,10034976455681763390000,11227000000000000000000,116158512742978984076418600,3730000000000000000000,3554000000000000000000,0,0
2025-02-13,10035004547752165640000,11227000000000000000000,116161624052790310330510450,3761000000000000000000,3585000000000000000000,0,0
2025-02-14,10035078859211661280000,11227000000000000000000,116169856054234124348311150,3843000000000000000000,3667000000000000000000,0,0
2025-02-15,10035107858935344910000,11227000000000000000000,116173067777382955105560750,3875000000000000000000,3699000000000000000000,0,0
2025-02-16,10035119640110630580000,11227000000000000000000,116174372423312852081754550,3888000000000000000000,3712000000000000000000,0,0
2025-02-17,10035171297678846140000,11227000000000000000000,116180094028338551153336950,3945000000000000000000,3769000000000000000000,0,0
2025-02-18,10035263742652021710000,11227000000000000000000,116190335025072369198086650,4047000000000000000000,3871000000000000000000,0,0
2025-02-19,10035287306957679870000,11227000000000000000000,116192944522116007542026250,4073000000000000000000,3897000000000000000000,0,0
2025-02-20,10035353470964263600000,11227000000000000000000,116200272892662391303576350,4146000000000000000000,3970000000000000000000,0,0
2025-02-21,10035379755417838580000,11227000000000000000000,116203183554095387762658300,4175000000000000000000,3999000000000000000000,0,0
2025-02-22,10035474022714329290000,11227000000000000000000,116213625677808042653902300,4279000000000000000000,4103000000000000000000,0,0
2025-02-23,10035507560171284670000,11227000000000000000000,116217339469934658286878550,4316000000000000000000,4140000000000000000000,0,0
2025-02-24,10035517530778705720000,11227000000000000000000,116218443434433877668219850,4327000000000000000000,4151000000000000000000,0,0
2025-02-26,10035743271404403130000,11227000000000000000000,116243463217513953106665250,4576000000000000000000,4400000000000000000000,0,0
2025-02-27,10035765934645532780000,11227000000000000000000,116245972457239361661316500,4601000000000000000000,4425000000000000000000,0,0
2025-02-28,10035776813039931410000,11227000000000000000000,116247176819016541665800700,4613000000000000000000,4437000000000000000000,0,0
2025-03-02,10035842086148613090000,11227000000000000000000,116254405119958919655422700,4685000000000000000000,4509000000000000000000,0,0
2025-03-03,10035857497819593700000,11227000000000000000000,116256111353470677665623250,4702000000000000000000,4526000000000000000000,0,0
2025-03-04,10036085089737166530000,11227000000000000000000,116281333236972454840825500,4953000000000000000000,4777000000000000000000,0,0
2025-03-05,10036106850040329120000,11227000000000000000000,116283742177604431006781100,4977000000000000000000,4801000000000000000000,0,0
2025-03-06,10036147651554977910000,11227000000000000000000,116288259414451976827643850,5022000000000000000000,4846000000000000000000,0,0
2025-03-07,10036174852854715920000,11227000000000000000000,116291270697084786877084350,5052000000000000000000,4876000000000000000000,0,0
2025-03-08,10036242858941107210000,11227000000000000000000,116298800589560158061591850,5127000000000000000000,4951000000000000000000,0,0
2025-03-09,10036243765677919810000,11227000000000000000000,116298900952473424169227600,5128000000000000000000,4952000000000000000000,0,0
2025-03-10,10036259180348531910000,11227000000000000000000,116300607254375557452535400,5145000000000000000000,4969000000000000000000,0,0
2025-03-11,10036278222186592350000,11227000000000000000000,116302715083296946996702550,5166000000000000000000,4990000000000000000000,0,0
2025-03-12,10036286382993771920000,11227000000000000000000,116303618387652963981906950,5175000000000000000000,4999000000000000000000,0,0
2025-03-13,10036299984438952560000,11227000000000000000000,116305123939937239585019450,5190000000000000000000,5014000000000000000000,0,0
2025-03-14,10036319026653418840000,11227000000000000000000,116307231777443750733118550,5211000000000000000000,5035000000000000000000,0,0
2025-03-15,10036322653740427880000,11227000000000000000000,116307633237964786702722550,5215000000000000000000,5039000000000000000000,0,0
2025-03-16,10036327187609658610000,11227000000000000000000,116308135066224615692344550,5220000000000000000000,5044000000000000000000,0,0
2025-03-17,10036452333816035450000,11227000000000000000000,116321994652900516827762950,5358000000000000000000,5182000000000000000000,0,0
2025-03-18,10036601070471080190000,11227000000000000000000,116338467852565090011765950,5522000000000000000000,5346000000000000000000,0,0
2025-03-19,10036726233316863440000,11227000000000000000000,116352327821982875912148950,5660000000000000000000,5484000000000000000000,0,0
2025-03-20,10036833261466188090000,11227000000000000000000,116364178052940323388935750,5778000000000000000000,5602000000000000000000,0,0
2025-03-21,10036864099921144450000,11227000000000000000000,116367591140379010730916850,5812000000000000000000,5636000000000000000000,0,0
2025-03-22,10036912172918890340000,11227000000000000000000,116372912053772663128084350,5865000000000000000000,5689000000000000000000,0,0
2025-03-23,10036942105486199210000,11227000000000000000000,116376224766208677509334750,5898000000000000000000,5722000000000000000000,0,0
2025-03-24,10036978388067643760000,11227000000000000000000,116380240324827459580930750,5938000000000000000000,5762000000000000000000,0,0
2025-03-25,10036997436539331240000,11227000000000000000000,116382348305069130823599550,5959000000000000000000,5783000000000000000000,0,0
2025-03-26,10037016485186688060000,11227000000000000000000,116384456289318573946034200,5980000000000000000000,5804000000000000000000,0,0
2025-03-27,10037079076065511570000,11227000000000000000000,116391384169082984189899750,6049000000000000000000,5873000000000000000000,0,0
2025-03-28,10037093589851930280000,11227000000000000000000,116392990226329722261488550,6065000000000000000000,5889000000000000000000,0,0
2025-04-01,10037446579741125800000,11227000000000000000000,116432113176900438573008550,6454000000000000000000,6278000000000000000000,0,0
2025-04-02,10037456559715383640000,11227000000000000000000,116433217354903593424422900,6465000000000000000000,6289000000000000000000,0,0
2025-04-03,10037470168868334680000,11227000000000000000000,116434723082952173436172650,6480000000000000000000,6304000000000000000000,0,0
2025-04-04,10037487407282550260000,11227000000000000000000,116436630378201330498873200,6499000000000000000000,6323000000000000000000,0,0
2025-04-05,10037371556367447640000,11228000000000000000000,116434274434851812793735000,6575000000000000000000,6400000000000000000000,0,0
2025-04-06,10038008433912343200000,11227000000000000000000,116494379785998788214001250,7073000000000000000000,6897000000000000000000,0,0
2025-04-07,10038035659730552320000,11227000000000000000000,116497391628381739410725750,7103000000000000000000,6927000000000000000000,0,0
2025-04-08,10038062885907372230000,11227000000000000000000,116500403478954612804674750,7133000000000000000000,6957000000000000000000,0,0
2025-04-09,10038080129265522530000,11227000000000000000000,116502310887013388026179700,7152000000000000000000,6976000000000000000000,0,0
2025-04-10,10038101003028243400000,11227000000000000000000,116504619903698550992516350,7175000000000000000000,6999000000000000000000,0,0
2025-04-11,10037992323206411200000,11228000000000000000000,116503067495840893681828550,7259000000000000000000,7084000000000000000000,0,0
2025-04-12,10038214453344746140000,11227000000000000000000,116517171827093377697269200,7300000000000000000000,7124000000000000000000,0,0
2025-04-13,10038223529413779020000,11227000000000000000000,116518175697260226377760700,7310000000000000000000,7134000000000000000000,0,0
2025-04-14,10038250758065064600000,11227000000000000000000,116521187604347036620971700,7340000000000000000000,7164000000000000000000,0,0
2025-04-15,10038251665683231360000,11227000000000000000000,116521287987341104417075550,7341000000000000000000,7165000000000000000000,0,0
2025-04-16,10038328817386497760000,11227000000000000000000,116529824067915759139462050,7426000000000000000000,7250000000000000000000,0,0
2025-04-17,10038268209931162140000,11228000000000000000000,116533597760952202630189500,7563000000000000000000,7388000000000000000000,0,0
2025-04-18,10038518535103715100000,11227000000000000000000,116550816101129784579474650,7635000000000000000000,7459000000000000000000,0,0
2025-04-19,10038614761725554350000,11227000000000000000000,116561462500624512101304250,7741000000000000000000,7565000000000000000000,0,0
