block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10068128645925777870000,186286700000000000000000,1987594493215762814893424200,13229000000000000000000,7054000000000000000000,0,0
2024-12-26,10066947407982602960000,186420700000000000000000,1986896060003508033868889500,19611000000000000000000,13570000000000000000000,0,0
2024-12-27,9986169084803681280307,193909700000000000000000,1912769987590323435662078528,25396000000000000000000,26844000000000000000000,0,0
2024-12-28,10069828028727483180000,186250700000000000000000,1990288612908817730078756422,36392000000000000000000,30181000000000000000000,0,0
2024-12-29,10067096441820585820000,186539700000000000000000,1988452317269850974811001522,46871000000000000000000,40949000000000000000000,0,0
2024-12-30,10070457191239898580000,186250700000000000000000,1991432135538591409211096872,47710000000000000000000,41499000000000000000000,0,0
2024-12-31,10059552006070062880000,187215700000000000000000,1981954245125741329574818972,49559000000000000000000,44313000000000000000000,0,0
2025-01-01,10070449699172547530000,186294700000000000000000,1991895522083703276427757872,56676000000000000000000,50509000000000000000000,0,0
2025-01-02,10070748147385540030000,186276700000000000000000,1992241934166833749497790872,58324000000000000000000,52139000000000000000000,0,0
2025-01-03,10071072582900344550000,186255700000000000000000,1992602793346367671782697222,59817000000000000000000,53611000000000000000000,0,0
2025-01-04,10071189892449810690000,186250700000000000000000,1992761298532440820753621972,60893000000000000000000,54682000000000000000000,0,0
2025-01-05,10071298722848106700000,186250700000000000000000,1992958614158928260750473672,62851000000000000000000,56640000000000000000000,0,0
2025-01-06,10022178364063749320000,190726700000000000000000,1949304888318890385766535122,73640000000000000000000,71905000000000000000000,0,0
2025-01-07,10071618915622296920000,186300700000000000000000,1994082780587289035732065722,78953000000000000000000,72792000000000000000000,0,0
2025-01-08,10048824418970604760000,188327700000000000000000,1974069451070424749312081922,81699000000000000000000,77565000000000000000000,0,0
2025-01-09,10072607963957500550000,186250700000000000000000,1995333280408585658077233272,86390000000000000000000,80179000000000000000000,0,0
2025-01-10,10071726411981053570000,186330700000000000000000,1994602763387446254470870722,87097000000000000000000,80966000000000000000000,0,0
2025-01-11,10072718419380459910000,186250700000000000000000,1995533384095797244973863072,88376000000000000000000,82165000000000000000000,0,0
2025-01-12,10072754793562266410000,186250700000000000000000,1995599273108801167366754572,89030000000000000000000,82819000000000000000000,0,0
2025-01-13,10072686980338583750000,186262700000000000000000,1995606576141635046310152472,90296000000000000000000,84097000000000000000000,0,0
2025-01-14,10073019974909047300000,186250700000000000000000,1996079888437407728987269972,93797000000000000000000,87586000000000000000000,0,0
2025-01-15,9748048977253205213911,214209700000000000000000,1721313779245520542091972141,104914000000000000000000,126662000000000000000000,0,0
2025-01-16,10075281789973983400000,186250700000000000000000,2000158257708660621393305444,134426000000000000000000,128215000000000000000000,0,0
2025-01-17,10075376961792146200000,186250700000000000000000,2000330537433717894547718044,136135000000000000000000,129924000000000000000000,0,0
2025-01-18,10075662342755648560000,186250700000000000000000,2000847566617312713839715794,141258000000000000000000,135047000000000000000000,0,0
2025-01-19,10075716757726775390000,186250700000000000000000,2000946036075069071112692394,142235000000000000000000,136024000000000000000000,0,0
2025-01-20,10075803562959437080000,186260700000000000000000,2001212160866091562066277694,145867000000000000000000,139666000000000000000000,0,0
2025-01-21,10074951441075200760000,186350700000000000000000,2000648412169625506529836694,149223000000000000000000,143112000000000000000000,0,0
2025-01-22,10076804849341730870000,186250700000000000000000,2002918897498504948824373994,161752000000000000000000,155541000000000000000000,0,0
2025-01-23,10076858959083664050000,186250700000000000000000,2003016773197545970436360144,162723000000000000000000,156512000000000000000000,0,0
2025-01-24,10076946509838867030000,186250700000000000000000,2003175159476660176225086394,164294000000000000000000,158083000000000000000000,0,0
2025-01-25,10076980782741579190000,186250700000000000000000,2003237144660841155024777644,164909000000000000000000,158698000000000000000000,0,0
2025-01-26,10077044873390873140000,186250700000000000000000,2003353072003830652060865144,166059000000000000000000,159848000000000000000000,0,0
2025-01-27,10076461184691880450000,186305700000000000000000,2002895969216689588131270044,166995000000000000000000,160839000000000000000000,0,0
2025-01-28,10077134211897280970000,186250700000000000000000,2003514647044002977904579344,167662000000000000000000,161451000000000000000000,0,0
2025-01-29,10077201038373832260000,186250700000000000000000,2003635517643442276919289694,168861000000000000000000,162650000000000000000000,0,0
2025-01-30,10077308894509902850000,186250700000000000000000,2003830631589717795407747194,170796000000000000000000,164585000000000000000000,0,0
2025-01-31,9986826317718522698952,194670700000000000000000,1921618952689562185577762210,188858000000000000000000,191067000000000000000000,0,0
2025-02-01,10079518882131119000000,186250700000000000000000,2007835513037035837672024110,210364000000000000000000,204153000000000000000000,0,0
2025-02-02,10079634668577587930000,186250700000000000000000,2008044801923693640079586610,212439000000000000000000,206228000000000000000000,0,0
2025-02-03,10079743038396954990000,186250700000000000000000,2008240669924257404847289010,214381000000000000000000,208170000000000000000000,0,0
2025-02-04,10079990809843619290000,186250700000000000000000,2008688761332156545587845510,218820000000000000000000,212609000000000000000000,0,0
2025-02-05,10080082954444270200000,186250700000000000000000,2008855269582856272877563810,220471000000000000000000,214260000000000000000000,0,0
2025-02-06,10080128496036785880000,186250700000000000000000,2008937544279243965046654210,221287000000000000000000,215076000000000000000000,0,0
2025-02-07,10080247609192887330000,186250700000000000000000,2009152801344819523359899610,223421000000000000000000,217210000000000000000000,0,0
2025-02-08,10080379290606051250000,186250700000000000000000,2009390774625280822580386210,225780000000000000000000,219569000000000000000000,0,0
2025-02-09,10080432988493516260000,186250700000000000000000,2009487777425534331710175110,226742000000000000000000,220531000000000000000000,0,0
2025-02-10,10080480196662328510000,186264700000000000000000,2009726338965613077148331760,230497000000000000000000,224300000000000000000000,0,0
2025-02-11,10080701142558824230000,186250700000000000000000,2009972440539275867507892260,231545000000000000000000,225334000000000000000000,0,0
2025-02-12,10071734784095554840000,187050700000000000000000,2002422156967348314709893260,236205000000000000000000,230794000000000000000000,0,0
2025-02-13,9998813565934064294845,193764700000000000000000,1935514430863216810433612742,237477000000000000000000,238780000000000000000000,0,0
2025-02-14,10058092419867678250000,188327700000000000000000,1991187144102146868832660476,251627000000000000000000,247493000000000000000000,0,0
2025-02-15,10076006309510945740000,186781700000000000000000,2007263878041729841642450976,257489000000000000000000,251809000000000000000000,0,0
2025-02-16,10082252447572678540000,186250700000000000000000,2012773254319297469469705926,259315000000000000000000,253104000000000000000000,0,0
