block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10101331770028697380000,211994800000000000000000,2329587062581662983116883950,18141000000000000000000,7750000000000000000000,0,0
2024-12-26,10089298440714512720000,213332800000000000000000,2319763764163808632018341550,53457000000000000000000,44404000000000000000000,0,0
2024-12-27,10103312366701108430000,211994800000000000000000,2333654339367584266319489650,57903000000000000000000,47512000000000000000000,0,0
2024-12-28,10103549645652907780000,211994800000000000000000,2334138574614083046681085950,62689000000000000000000,52298000000000000000000,0,0
2024-12-29,10103735962869617870000,211994800000000000000000,2334518688087081016552935550,66447000000000000000000,56056000000000000000000,0,0
2024-12-30,10103803135852535890000,211994800000000000000000,2334655647424963434713899300,67802000000000000000000,57411000000000000000000,0,0
2024-12-31,10100240843317381010000,212350800000000000000000,2331354757084839195419258900,70546000000000000000000,60511000000000000000000,0,0
2025-01-01,10099053068404323400000,212485800000000000000000,2330428007755792520849441750,74797000000000000000000,64897000000000000000000,0,0
2025-01-02,10104325782225913460000,211994800000000000000000,2335721561535989705831737250,78342000000000000000000,67951000000000000000000,0,0
2025-01-03,10104381468179488140000,211994800000000000000000,2335835069970354416408768000,79465000000000000000000,69074000000000000000000,0,0
2025-01-04,10104434180058902060000,211994800000000000000000,2335942512553457930960267700,80528000000000000000000,70137000000000000000000,0,0
2025-01-05,10104521510554543500000,211994800000000000000000,2336120542803670475715483750,82289000000000000000000,71898000000000000000000,0,0
2025-01-06,10104719564500659030000,211999800000000000000000,2336580612931817113846244850,87332000000000000000000,76946000000000000000000,0,0
2025-01-07,10104795481311468080000,211994800000000000000000,2336679393512614482972767350,87812000000000000000000,77421000000000000000000,0,0
2025-01-08,10105557406651723450000,211994800000000000000000,2338237110433598007093285550,103150000000000000000000,92759000000000000000000,0,0
2025-01-09,10105640961136443650000,211994800000000000000000,2338407371484632419055952550,104834000000000000000000,94443000000000000000000,0,0
2025-01-10,10106200347736984220000,211994800000000000000000,2339549645598123292806240500,116097000000000000000000,105706000000000000000000,0,0
2025-01-11,10106150409499337990000,212002800000000000000000,2339537531566162412296914500,116773000000000000000000,106390000000000000000000,0,0
2025-01-12,10106756325000228350000,211994800000000000000000,2340684376762678919068001450,127290000000000000000000,116899000000000000000000,0,0
2025-01-13,10106809243128894560000,211994800000000000000000,2340792148111954858633589250,128356000000000000000000,117965000000000000000000,0,0
2025-01-14,10106881177699512660000,211994800000000000000000,2340938657571201409835927850,129805000000000000000000,119414000000000000000000,0,0
2025-01-15,10106987772852091150000,211994800000000000000000,2341155788842572464658609650,131952000000000000000000,121561000000000000000000,0,0
2025-01-16,10105877562960979540000,212144800000000000000000,2340576226105930151935860650,141116000000000000000000,130875000000000000000000,0,0
2025-01-17,10107484737616410000000,211994800000000000000000,2342169460201615785445829650,141955000000000000000000,131564000000000000000000,0,0
2025-01-18,10107738424285373610000,211994800000000000000000,2342686443660324363107781750,147062000000000000000000,136671000000000000000000,0,0
2025-01-19,10107759580269170380000,211994800000000000000000,2342729507926649619966769950,147488000000000000000000,137097000000000000000000,0,0
2025-01-20,10107795486896155590000,211994800000000000000000,2342802602337524671461082200,148211000000000000000000,137820000000000000000000,0,0
2025-01-21,10108119751781813790000,211994800000000000000000,2343463551485291233154867400,154737000000000000000000,144346000000000000000000,0,0
2025-01-22,10108406821900760150000,211994800000000000000000,2344048521109615575494797200,160514000000000000000000,150123000000000000000000,0,0
2025-01-23,10108426146239974600000,211994800000000000000000,2344087847235453939336822800,160903000000000000000000,150512000000000000000000,0,0
2025-01-24,10108686021287904050000,212006800000000000000000,2344752733087238912876759200,168656000000000000000000,158277000000000000000000,0,0
