block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10013354918402137570000,186654000000000000000000,1891332198155660471167360800,3648000000000000000000,2424000000000000000000,0,0
2024-12-26,10013787308075979770000,186638000000000000000000,1891972331670305295512792600,8442000000000000000000,7202000000000000000000,0,0
2024-12-27,10013921162470327140000,186638000000000000000000,1892220950282654295072637850,10923000000000000000000,9683000000000000000000,0,0
2024-12-28,10014596032602828150000,186638000000000000000000,1893477591678436380300943450,23422000000000000000000,22182000000000000000000,0,0
2024-12-29,10014770209800024080000,186638000000000000000000,1893801064238210106996729750,26649000000000000000000,25409000000000000000000,0,0
2024-12-30,10014777172489928550000,186638000000000000000000,1893813983758167758901286050,26778000000000000000000,25538000000000000000000,0,0
2024-12-31,10014857111585595400000,186638000000000000000000,1893962364969172278196688900,28259000000000000000000,27019000000000000000000,0,0
2025-01-01,10014985876632914860000,186648000000000000000000,1894303937041666189628903900,32659000000000000000000,31429000000000000000000,0,0
2025-01-02,10014847205174563610000,186663000000000000000000,1894199837889006660052318400,33112000000000000000000,31897000000000000000000,0,0
2025-01-03,10015200185526603970000,186638000000000000000000,1894599449772831269276891550,34614000000000000000000,33374000000000000000000,0,0
2025-01-04,10015229824019631620000,186638000000000000000000,1894654441713710185656225900,35163000000000000000000,33923000000000000000000,0,0
2025-01-05,10014658039458975050000,186703000000000000000000,1894257481988724903026122450,37665000000000000000000,36490000000000000000000,0,0
2025-01-06,10015618055464086880000,186638000000000000000000,1895375352714284395850753350,42353000000000000000000,41113000000000000000000,0,0
2025-01-07,10015635118564655160000,186638000000000000000000,1895407004876069773849930750,42669000000000000000000,41429000000000000000000,0,0
2025-01-08,10012619303143815650000,186930000000000000000000,1892785566276043874002655350,45543000000000000000000,44595000000000000000000,0,0
2025-01-09,9984837407854332451451,189523000000000000000000,1867066154375954034754304806,46319000000000000000000,47964000000000000000000,0,0
2025-01-10,10016000612938563730000,186638000000000000000000,1896084894128654150911697161,49437000000000000000000,48197000000000000000000,0,0
2025-01-11,10016005689602629820000,186638000000000000000000,1896094309417367338438810961,49531000000000000000000,48291000000000000000000,0,0
2025-01-12,10016036095996719990000,186638000000000000000000,1896150708475056458328636561,50094000000000000000000,48854000000000000000000,0,0
2025-01-13,10016078168943626770000,186638000000000000000000,1896228750563064870799878061,50873000000000000000000,49633000000000000000000,0,0
2025-01-14,10016165073202143840000,186638000000000000000000,1896389983151711096104169561,52482000000000000000000,51242000000000000000000,0,0
2025-01-15,10013509223021051990000,186891000000000000000000,1894042853326477616529880811,54218000000000000000000,53231000000000000000000,0,0
2025-01-16,10016360878279304260000,186638000000000000000000,1896753232271957346515921311,56107000000000000000000,54867000000000000000000,0,0
2025-01-17,10016399986943068450000,186638000000000000000000,1896825765553643518006060711,56831000000000000000000,55591000000000000000000,0,0
2025-01-18,10016468321428081510000,186638000000000000000000,1896952518547843823639679961,58096000000000000000000,56856000000000000000000,0,0
2025-01-19,10016518344549668760000,186638000000000000000000,1897045295359500236269257761,59022000000000000000000,57782000000000000000000,0,0
2025-01-20,10016539250762227850000,186638000000000000000000,1897084063508638600145115461,59409000000000000000000,58169000000000000000000,0,0
2025-01-21,10016729947669548560000,186652000000000000000000,1897581992896018343310998261,65761000000000000000000,64535000000000000000000,0,0
2025-01-22,10017197092315095620000,186639000000000000000000,1898315959015640360733104011,71784000000000000000000,70545000000000000000000,0,0
2025-01-23,10017237228086039870000,186638000000000000000000,1898380127474662306975269961,72325000000000000000000,71085000000000000000000,0,0
2025-01-24,10017306293365315130000,186638000000000000000000,1898508194322504350138049361,73603000000000000000000,72363000000000000000000,0,0
2025-01-25,10017356661424221290000,186638000000000000000000,1898601580289444489010164161,74535000000000000000000,73295000000000000000000,0,0
2025-01-26,10017448755131122220000,186638000000000000000000,1898772359207897217191871361,76239000000000000000000,74999000000000000000000,0,0
2025-01-27,10017480642431408720000,186638000000000000000000,1898831472009872140558086861,76829000000000000000000,75589000000000000000000,0,0
2025-01-28,10017500423564196960000,186638000000000000000000,1898868139772421994383276561,77195000000000000000000,75955000000000000000000,0,0
2025-01-29,10017511178940489550000,186638000000000000000000,1898888075714809004710270861,77394000000000000000000,76154000000000000000000,0,0
2025-01-30,10017614306520306170000,186638000000000000000000,1899079314350189246202700261,79302000000000000000000,78062000000000000000000,0,0
2025-01-31,10018462080218897010000,186638000000000000000000,1900656872078166149156124061,94968000000000000000000,93728000000000000000000,0,0
2025-02-01,10018738499998428870000,186638000000000000000000,1901169693284570073489014261,100079000000000000000000,98839000000000000000000,0,0
2025-02-02,10018740987671810520000,186638000000000000000000,1901174301963985639172254961,100125000000000000000000,98885000000000000000000,0,0
2025-02-03,10018807778540550270000,186638000000000000000000,1901298076996321850670139461,101360000000000000000000,100120000000000000000000,0,0
2025-02-04,10018890310655630570000,186638000000000000000000,1901451030755992801067013561,102886000000000000000000,101646000000000000000000,0,0
2025-02-05,10018987504359231070000,186638000000000000000000,1901631163063793817540136311,104683000000000000000000,103443000000000000000000,0,0
2025-02-06,10019020768025735050000,186638000000000000000000,1901692790578499947133945811,105298000000000000000000,104058000000000000000000,0,0
2025-02-07,10019107636198623910000,186638000000000000000000,1901853770080380824404130911,106904000000000000000000,105664000000000000000000,0,0
2025-02-08,10019145283242069200000,186638000000000000000000,1901923516841853520801632511,107600000000000000000000,106360000000000000000000,0,0
2025-02-09,10019147446868685300000,186638000000000000000000,1901927524545145131948382511,107640000000000000000000,106400000000000000000000,0,0
2025-02-10,10019386189199104730000,186645000000000000000000,1902442474335696536432084811,113466000000000000000000,112233000000000000000000,0,0
2025-02-11,10019687526260914610000,186638000000000000000000,1902929176653341343990055311,117622000000000000000000,116382000000000000000000,0,0
2025-02-12,10019751751026471920000,186638000000000000000000,1903048150655802196277013811,118809000000000000000000,117569000000000000000000,0,0
2025-02-13,10019812785307926660000,186638000000000000000000,1903161209840988666933505411,119937000000000000000000,118697000000000000000000,0,0
2025-02-14,10018195596780706540000,186796000000000000000000,1901785221118758230324018511,121923000000000000000000,120841000000000000000000,0,0
2025-02-15,10020116049240520270000,186638000000000000000000,1903723189150178043233410311,125541000000000000000000,124301000000000000000000,0,0
2025-02-16,10020144460744361530000,186638000000000000000000,1903775802596593364095941561,126066000000000000000000,124826000000000000000000,0,0
2025-02-17,10020199878277047030000,186638000000000000000000,1903878438850642416215647161,127090000000000000000000,125850000000000000000000,0,0
2025-02-18,10020232458212639760000,186638000000000000000000,1903938770768590664336530961,127692000000000000000000,126452000000000000000000,0,0
2025-02-19,10020251995535355470000,186638000000000000000000,1903974947507737557441242261,128053000000000000000000,126813000000000000000000,0,0
2025-02-20,10020268339909249480000,186638000000000000000000,1904005211256641495943221061,128355000000000000000000,127115000000000000000000,0,0
2025-02-21,10020279001693422940000,186638000000000000000000,1904024952285275952408420511,128552000000000000000000,127312000000000000000000,0,0
2025-02-22,10020291395416024310000,186638000000000000000000,1904047900211113196390467911,128781000000000000000000,127541000000000000000000,0,0
2025-02-23,10020253182802399010000,186643000000000000000000,1904028513623912183931862161,129085000000000000000000,127850000000000000000000,0,0
2025-02-24,10020308768416217880000,186638000000000000000000,1904080067975269080694625511,129102000000000000000000,127862000000000000000000,0,0
2025-02-26,10020393905486445480000,186638000000000000000000,1904237758598962813235615661,130675000000000000000000,129435000000000000000000,0,0
2025-02-27,10020515530188382230000,186638000000000000000000,1904463063137793554623757211,132922000000000000000000,131682000000000000000000,0,0
2025-02-28,10020581567431534060000,186638000000000000000000,1904585356093494526047144211,134142000000000000000000,132902000000000000000000,0,0
2025-03-02,10020642193563038690000,186638000000000000000000,1904697622531915187741376211,135262000000000000000000,134022000000000000000000,0,0
2025-03-03,10020187425462165470000,186688000000000000000000,1904369338204577175203845911,136960000000000000000000,135770000000000000000000,0,0
2025-03-04,10020770435359482930000,186638000000000000000000,1904935106210508332147976111,137631000000000000000000,136391000000000000000000,0,0
2025-03-05,10020820456260169130000,186638000000000000000000,1905027722538783324350857311,138555000000000000000000,137315000000000000000000,0,0
2025-03-06,10020820726935898880000,186638000000000000000000,1905028223580514051886103311,138560000000000000000000,137320000000000000000000,0,0
2025-03-07,10020827818663210260000,186638000000000000000000,1905041351342253295901238961,138691000000000000000000,137451000000000000000000,0,0
2025-03-08,10020836642758742810000,186638000000000000000000,1905057686045205731164761861,138854000000000000000000,137614000000000000000000,0,0
2025-03-09,10020846657885506820000,186638000000000000000000,1905076225564000655509787361,139039000000000000000000,137799000000000000000000,0,0
2025-03-10,10020872102038198760000,186638000000000000000000,1905123329829498868384711861,139509000000000000000000,138269000000000000000000,0,0
2025-03-11,10020889588275414900000,186638000000000000000000,1905155700210844944461127361,139832000000000000000000,138592000000000000000000,0,0
2025-03-12,10020900578137664140000,186638000000000000000000,1905176043786199856009244711,140035000000000000000000,138795000000000000000000,0,0
2025-03-13,10020911947024066210000,186638000000000000000000,1905197088929068436093883711,140245000000000000000000,139005000000000000000000,0,0
2025-03-14,10020922341487684120000,186638000000000000000000,1905216330126111777894056511,140437000000000000000000,139197000000000000000000,0,0
2025-03-15,10020923424245145690000,186638000000000000000000,1905218334321910702266227511,140457000000000000000000,139217000000000000000000,0,0
2025-03-16,10020933114968320420000,186638000000000000000000,1905236272683976139518505561,140636000000000000000000,139396000000000000000000,0,0
2025-03-17,10021297090097068750000,186638000000000000000000,1905911154292540116528365511,147357000000000000000000,146117000000000000000000,0,0
2025-03-18,10021361744763883360000,186638000000000000000000,1906030849496373142058166711,148551000000000000000000,147311000000000000000000,0,0
2025-03-19,10021461006362966870000,186638000000000000000000,1906214638155615532508971761,150384000000000000000000,149144000000000000000000,0,0
