block_date,mid_price_quote_per_token,base_reserve,quote_reserve,executed_buy_base,executed_sell_base,rejected_buy_base,rejected_sell_base
2024-12-25,10011553162826869220000,183666000000000000000000,1878764399399941876695688900,10361000000000000000000,8303000000000000000000,0,0
2024-12-26,10011892768559790320000,183666000000000000000000,1879996906897711831322112008,22692000000000000000000,20634000000000000000000,0,0
2024-12-27,9896435440123380345858,202789000000000000000000,1690814400583153390924415122,25383000000000000000000,42448000000000000000000,0,0
2024-12-28,9958429330115432778118,193238000000000000000000,1786439731446263637341736816,38235000000000000000000,45749000000000000000000,0,0
2024-12-29,10011712991936492600000,183837000000000000000000,1881094705883096730738110823,50763000000000000000000,48876000000000000000000,0,0
2024-12-30,10012721114505551670000,183666000000000000000000,1882997327437758547757495823,52752000000000000000000,50694000000000000000000,0,0
2024-12-31,10009179972604792390000,184326000000000000000000,1876876314104724738494094281,57282000000000000000000,55884000000000000000000,0,0
2025-01-01,10012890457562127500000,183669000000000000000000,1883642873025866419926132581,59502000000000000000000,57447000000000000000000,0,0
2025-01-02,10009698687054586520000,184247000000000000000000,1877962551481168519811385281,60274000000000000000000,58797000000000000000000,0,0
2025-01-03,10012998399686660240000,183666000000000000000000,1884003780016513903831346450,62809000000000000000000,60751000000000000000000,0,0
2025-01-04,10013020873679312590000,183666000000000000000000,1884085376764583819464557700,63624000000000000000000,61566000000000000000000,0,0
2025-01-05,10012800727003596430000,183718000000000000000000,1883822346055473149296214868,66172000000000000000000,64166000000000000000000,0,0
2025-01-06,10013106047037346920000,183675000000000000000000,1884487380489979620530419068,68536000000000000000000,66487000000000000000000,0,0
2025-01-07,10013165656586074240000,183666000000000000000000,1884610890963142691478764418,68874000000000000000000,66816000000000000000000,0,0
2025-01-08,9994200817801865983928,187153000000000000000000,1850179308404044267623868114,71642000000000000000000,73071000000000000000000,0,0
2025-01-09,10002408113364287010000,185649000000000000000000,1865407797033510676886204194,74305000000000000000000,74230000000000000000000,0,0
2025-01-10,10010383046922866090000,184206000000000000000000,1880040233250008554712362695,76958000000000000000000,75440000000000000000000,0,0
2025-01-11,10013369280820116890000,183676000000000000000000,1885452637812046477919748195,78283000000000000000000,76235000000000000000000,0,0
