block_date,token_standard,token_id,sell_volume,buy_volume,gross_volume,net_buy_pressure,total_supply,gross_daily_turnover_rate,data_source,primary_secondary_treatment,sample_window
2025-01-28,erc1155,18,4568,2100,6668,-2468,706912,0.00943257,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-01-29,erc1155,18,826,16874,17700,16048,706912,0.02503848,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-01-30,erc1155,18,5490,7161,12651,1671,706912,0.01789615,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-01-31,erc1155,18,3505,2010,5515,-1495,706912,0.00780154,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-01,erc1155,18,28935,2049,30984,-26886,706912,0.04383007,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-02,erc1155,18,6113,2262,8375,-3851,706912,0.01184730,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-03,erc1155,18,1297,920,2217,-377,706912,0.00313618,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-04,erc1155,18,3121,2826,5947,-295,706912,0.00841265,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-05,erc1155,18,21999,16097,38096,-5902,706912,0.05389072,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-06,erc1155,18,950,1608,2558,658,706912,0.00361856,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-07,erc1155,18,4061,8038,12099,3977,706912,0.01711528,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-08,erc1155,18,458,7137,7595,6679,706912,0.01074391,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-09,erc1155,18,2432,1268,3700,-1164,706912,0.00523403,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-10,erc1155,18,3657,22327,25984,18670,706912,0.03675705,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-11,erc1155,18,1121,6366,7487,5245,706912,0.01059113,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-12,erc1155,18,7581,12400,19981,4819,706912,0.02826519,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-13,erc1155,18,27104,1430,28534,-25674,706912,0.04036429,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-14,erc1155,18,10434,4096,14530,-6338,706912,0.02055418,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-15,erc1155,18,2363,5581,7944,3218,706912,0.01123761,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-16,erc1155,18,1845,1833,3678,-12,706912,0.00520291,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
2025-02-17,erc1155,18,4256,10115,14371,5859,706912,0.02032926,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,full_observed_sample
