block_date,token_standard,token_id,sell_volume,buy_volume,gross_volume,net_buy_pressure,total_supply,gross_daily_turnover_rate,data_source,primary_secondary_treatment,sample_window
2025-07-25,erc1155,29,11002,244989,255991,233987,1432200,0.17873970,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-07-26,erc1155,29,4092,119373,123465,115281,1432200,0.08620654,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-07-27,erc1155,29,1922,46216,48138,44294,1432200,0.03361123,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-07-28,erc1155,29,4092,39126,43218,35034,1432200,0.03017595,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-07-29,erc1155,29,10125,29529,39654,19404,1432200,0.02768747,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-07-30,erc1155,29,2736,25802,28538,23066,1432200,0.01992599,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-07-31,erc1155,29,8550,69092,77642,60542,1432200,0.05421170,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-01,erc1155,29,9123,51389,60512,42266,1432200,0.04225108,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-02,erc1155,29,6953,46035,52988,39082,1432200,0.03699763,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-03,erc1155,29,1913,12047,13960,10134,1432200,0.00974724,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-04,erc1155,29,2548,36100,38648,33552,1432200,0.02698506,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-05,erc1155,29,5979,29514,35493,23535,1432200,0.02478215,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-06,erc1155,29,8569,27583,36152,19014,1432200,0.02524228,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-07,erc1155,29,7423,11848,19271,4425,1432200,0.01345552,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-08,erc1155,29,40664,11326,51990,-29338,1432200,0.03630080,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-09,erc1155,29,4431,9593,14024,5162,1432200,0.00979193,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-10,erc1155,29,5629,13805,19434,8176,1432200,0.01356933,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-11,erc1155,29,7248,50223,57471,42975,1432200,0.04012778,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-12,erc1155,29,4462,12979,17441,8517,1432200,0.01217777,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-13,erc1155,29,3699,23874,27573,20175,1432200,0.01925220,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-14,erc1155,29,9761,20078,29839,10317,1432200,0.02083438,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-15,erc1155,29,14287,258771,273058,244484,1432200,0.19065633,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-16,erc1155,29,45126,413242,458368,368116,1432200,0.32004469,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-17,erc1155,29,4208,4208,8416,0,1432200,0.00587627,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-18,erc1155,29,4359,4359,8718,0,1432200,0.00608714,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
2025-08-19,erc1155,29,1331,1331,2662,0,1432200,0.00185868,Goro market data via Dune query 6936221,combined_observed_flow_no_synthetic_adjustment,post_launch_from_2025-07-25
